,Марка,Модель,Год выпуска,Тип кузова,Цена,Объём двигателя,Цвет,Привод,Руль,Тип двигателя,Состояние,Владельцев по ПТС,Количество дверей,Мощность двигателя,Пробег,VIN или номер кузова,Коробка передач,Ссылка
0,Audi,A8,2010,седан,990 000,4.2,чёрный,полный,левый,бензин,не битый,1,4,340 л.с.,160000 км,WAUZZZ4H*BN****23,автомат,https://www.avito.ru/moskva/avtomobili/audi_a8_2010_1636977517
1,Audi,A8,2007,седан,1 250 000,6.0,серый,полный,левый,бензин,не битый,1,4,450 л.с.,41075 км,WAUZZZ4E*7N****87,автомат,https://www.avito.ru/moskva/avtomobili/audi_a8_2007_1460951818
2,Audi,Q5,2009,универсал,660 000,2.0,серый,полный,левый,бензин,не битый,2,5,211 л.с.,157000 км,WAUZZZ8R*AA****95,автомат,https://www.avito.ru/moskva/avtomobili/audi_q5_2009_1473169611
3,Audi,Q5,2009,внедорожник,769 999,2.0,белый,полный,левый,бензин,не битый,2,,211 л.с.,81000 км,WAUZZZ8R*AA****51,автомат,https://www.avito.ru/moskva/avtomobili/audi_q5_2009_1316498205
4,Audi,Q7,2007,внедорожник,770 000,3.6,чёрный,полный,левый,бензин,не битый,2,5,280 л.с.,175000 км,WAUZZZ4L*8D****67,автомат,https://www.avito.ru/moskva/avtomobili/audi_q7_2007_1713137853
5,Audi,Q3,2011,хетчбэк,820 000,2.0,чёрный,полный,левый,бензин,не битый,2,5,211 л.с.,98000 км,WAUZZZ8U*CR****48,автомат,https://www.avito.ru/moskva/avtomobili/audi_q3_2011_1704425435
6,Audi,A3,2005,хетчбэк,400 000,2.0,красный,передний,левый,бензин,не битый,4+,3,150 л.с.,213000 км,WAUZZZ8P*6A****35,автомат,https://www.avito.ru/moskva/avtomobili/audi_a3_2005_1254425153
7,Audi,Q5,2010,внедорожник,800 000,2.0,белый,полный,левый,бензин,не битый,3,5,211 л.с.,130000 км,XW8ZZZ8R*AG****63,автомат,https://www.avito.ru/moskva/avtomobili/audi_q5_2010_1122053566
8,Audi,TT,2000,купе,425 000,1.8,белый,полный,левый,бензин,не битый,4+,3,180 л.с.,195000 км,TRUZZZ8N*Y1****26,механика,https://www.avito.ru/moskva/avtomobili/audi_tt_2000_1703014563
9,Audi,Q7,2007,внедорожник,610 000,4.2,серый,полный,левый,бензин,не битый,3,5,350 л.с.,120450 км,WAUZZZ4L*7D****82,автомат,https://www.avito.ru/moskva/avtomobili/audi_q7_2007_1419279716
10,Audi,A6,2015,седан,1 600 000,1.8,чёрный,передний,левый,бензин,не битый,2,4,190 л.с.,52000 км,WAUZZZ4G*FN****13,автомат,https://www.avito.ru/moskva/avtomobili/audi_a6_2015_1477577708
11,Audi,A4,2005,седан,490 000,2.0,чёрный,полный,левый,бензин,не битый,4+,4,200 л.с.,280000 км,WAUDF68E*5A****32,автомат,https://www.avito.ru/moskva/avtomobili/audi_a4_2005_1352028541
12,Audi,A8,2013,седан,1 750 000,3.0,чёрный,полный,левый,бензин,не битый,2,4,290 л.с.,59000 км,WAUZZZ4H*DN****90,автомат,https://www.avito.ru/moskva/avtomobili/audi_a8_2013_943382831
13,Audi,Q3,2013,универсал,890 000,2.0,белый,полный,левый,бензин, битый,2,5,170 л.с.,97000 км,WAUZZZ8U*DR****29,робот,https://www.avito.ru/moskva/avtomobili/audi_q3_2013_1674258790
14,Audi,A3,2013,хетчбэк,1 050 000,1.4,белый,передний,левый,бензин,не битый,1,5,122 л.с.,7000 км,WAUZZZ8V*EA****72,автомат,https://www.avito.ru/moskva/avtomobili/audi_a3_2013_539771795
15,Audi,A6,2002,седан,295 000,2.4,чёрный,полный,левый,бензин,не битый,2,,170 л.с.,155000 км,WAUZZZ4B*3N****17,автомат,https://www.avito.ru/moskva/avtomobili/audi_a6_2002_1118967734
16,Audi,A4,2014,универсал,860 000,1.8,красный,передний,левый,бензин,не битый,1,4,120 л.с.,64000 км,WAUZZZ6K*EA****58,вариатор,https://www.avito.ru/moskva/avtomobili/audi_a4_2014_1722194927
17,Audi,A6,2006,седан,485 000,3.0,чёрный,полный,левый,бензин,не битый,2,4,218 л.с.,182000 км,WAUZZZ4F*6N****26,автомат,https://www.avito.ru/moskva/avtomobili/audi_a6_2006_1426796706
18,Audi,A4,2006,седан,380 000,2.0,чёрный,передний,левый,бензин,не битый,4+,,200 л.с.,205129 км,WAUZZZ8E*7A****55,вариатор,https://www.avito.ru/moskva/avtomobili/audi_a4_2006_1624026683
19,Audi,Q5,2018,внедорожник,2 919 121,2.0,зелёный,полный,левый,бензин,,,5,249 л.с.,,WAUZZZFY*J2****78,автомат,https://www.avito.ru/moskva/avtomobili/audi_q5_2018_1255776268
20,Audi,Q5,2018,внедорожник,2 958 789,2.0,синий,полный,левый,бензин,,,5,249 л.с.,,WAUZZZFY*J2****84,автомат,https://www.avito.ru/moskva/avtomobili/audi_q5_2018_993127318
21,Audi,A8,2018,седан,8 191 000,3.0,чёрный,полный,левый,бензин,,,4,340 л.с.,,WAUZZZF8*JN****93,автомат,https://www.avito.ru/moskva/avtomobili/audi_a8_2018_1168260140
22,Audi,Q5,2018,внедорожник,3 328 529,2.0,серый,полный,левый,бензин,,,5,249 л.с.,,WAUZZZFY*J2****89,автомат,https://www.avito.ru/moskva/avtomobili/audi_q5_2018_1230313085
