,Марка,Модель,Год выпуска,Тип кузова,Цена,Объём двигателя,Цвет,Привод,Руль,Тип двигателя,Состояние,Владельцев по ПТС,Количество дверей,Мощность двигателя,Пробег,VIN или номер кузова,Коробка передач,Ссылка
0,BMW,X5,2018,внедорожник,4 129 999,3.0,белый,полный,левый,дизель,не битый,1,,249 л.с.,1016 км,X4XKS494*00****83,автомат,https://www.avito.ru/moskva/avtomobili/bmw_x5_2018_1281548024
1,BMW,5 серия GT,2010,универсал,1 110 000,3.0,красный,полный,левый,бензин,не битый,2,,306 л.с.,181000 км,WBASP210*0C****29,автомат,https://www.avito.ru/moskva/avtomobili/bmw_5_seriya_gt_2010_1605013826
2,BMW,3 серия,2014,универсал,1 250 000,2.0,чёрный,полный,левый,бензин,не битый,2,4.0,184 л.с.,107000 км,X4X3C394*0P****53,автомат,https://www.avito.ru/moskva/avtomobili/bmw_3_seriya_2014_1445465903
3,BMW,7 серия,2012,седан,1 650 000,3.0,чёрный,задний,левый,дизель,не битый,2,4.0,245 л.с.,135000 км,WBAKM210*0D****65,автомат,https://www.avito.ru/moskva/avtomobili/bmw_7_seriya_2012_1467714023
4,BMW,X1,2016,внедорожник,1 650 000,2.0,синий,полный,левый,дизель,не битый,1,5.0,150 л.с.,49000 км,X4XHT994*0E****89,автомат,https://www.avito.ru/moskva/avtomobili/bmw_x1_2016_1580856267
5,BMW,X6,2018,внедорожник,4 757 900,3.0,белый,полный,левый,дизель,,,,249 л.с.,,X4XKV294*00****37,автомат,https://www.avito.ru/moskva/avtomobili/bmw_x6_2018_1000696493
6,BMW,X4,2018,внедорожник,2 895 500,2.0,серебряный,полный,левый,бензин,,,,184 л.с.,,WBAXX110*00****68,автомат,https://www.avito.ru/moskva/avtomobili/bmw_x4_2018_1513631038
7,BMW,X3,2018,внедорожник,2 917 000,2.0,серый,полный,левый,бензин,,,,184 л.с.,,WBATR510*0L****70,автомат,https://www.avito.ru/moskva/avtomobili/bmw_x3_2018_1385972233
8,BMW,1 серия,2018,хетчбэк,1 580 000,1.5,белый,задний,левый,бензин,,,,136 л.с.,,WBA1R510*06****47,автомат,https://www.avito.ru/moskva/avtomobili/bmw_1_seriya_2018_1454421647
9,BMW,X2,2018,внедорожник,3 506 000,2.0,золотой,полный,левый,дизель,,,,190 л.с.,,WBAYN310*0E****22,автомат,https://www.avito.ru/moskva/avtomobili/bmw_x2_2018_1478060901
10,BMW,X6,2018,внедорожник,4 972 600,3.0,красный,полный,левый,дизель,,,,249 л.с.,,X4XKV294*00****92,автомат,https://www.avito.ru/moskva/avtomobili/bmw_x6_2018_1175522255
11,BMW,X2,2018,внедорожник,2 981 100,2.0,золотой,полный,левый,дизель,,,,190 л.с.,,WBAYN310*0E****14,автомат,https://www.avito.ru/moskva/avtomobili/bmw_x2_2018_1332360255
12,BMW,3 серия,2018,седан,2 461 100,2.0,белый,полный,левый,бензин,,,,184 л.с.,,WBA8A510*0K****92,автомат,https://www.avito.ru/moskva/avtomobili/bmw_3_seriya_2018_1404331515
13,BMW,7 серия,2017,седан,8 610 000,4.4,чёрный,полный,левый,бензин,,,,450 л.с.,,X4X7F294*0B****03,автомат,https://www.avito.ru/moskva/avtomobili/bmw_7_seriya_2017_1618282682
14,BMW,X3,2018,внедорожник,2 899 000,2.0,белый,полный,левый,бензин,,,5.0,184 л.с.,,WBATR510*0L****45,автомат,https://www.avito.ru/moskva/avtomobili/bmw_x3_2018_1505129011
15,BMW,5 серия,2018,седан,2 773 000,2.0,серый,полный,левый,дизель,,,4.0,190 л.с.,,X4XJC594*0W****70,автомат,https://www.avito.ru/moskva/avtomobili/bmw_5_seriya_2018_1267856054
16,BMW,X6 M,2017,внедорожник,8 803 790,4.4,голубой,полный,левый,бензин,,,,575 л.с.,,WBSKW810*00****61,автомат,https://www.avito.ru/moskva/avtomobili/bmw_x6_m_2017_1268447404
17,BMW,5 серия,2018,седан,3 067 000,2.0,серый,полный,левый,дизель,,,4.0,190 л.с.,,WBAJC510*0W****50,автомат,https://www.avito.ru/moskva/avtomobili/bmw_5_seriya_2018_1713207751
18,BMW,6 серия GT,2017,хетчбэк,5 300 000,3.0,чёрный,полный,левый,дизель,,,,249 л.с.,,WBAJW810*0B****45,автомат,https://www.avito.ru/moskva/avtomobili/bmw_6_seriya_gt_2017_1479962942
19,BMW,3 серия,2018,седан,2 461 100,2.0,синий,полный,левый,бензин,,,,184 л.с.,,WBA8A510*0K****84,автомат,https://www.avito.ru/moskva/avtomobili/bmw_3_seriya_2018_1189680454
20,BMW,7 серия,2017,седан,5 750 000,3.0,чёрный,полный,левый,дизель,не битый,1,,320 л.с.,2810 км,WBA7C610*0G****53,автомат,https://www.avito.ru/moskva/avtomobili/bmw_7_seriya_2017_1589393512
21,BMW,7 серия,2017,седан,9 883 980,4.4,чёрный,полный,левый,бензин,,,,450 л.с.,,WBA7B010*0G****52,автомат,https://www.avito.ru/moskva/avtomobili/bmw_7_seriya_2017_1520810326
22,BMW,6 серия GT,2017,хетчбэк,5 907 636,3.0,белый,полный,левый,дизель,,,,320 л.с.,,WBAJW010*0B****65,автомат,https://www.avito.ru/moskva/avtomobili/bmw_6_seriya_gt_2017_1518915361
23,BMW,M4,2018,купе,7 648 500,3.0,синий,задний,левый,бензин,,,,460 л.с.,,WBS3S710*0A****17,автомат,https://www.avito.ru/moskva/avtomobili/bmw_m4_2018_1576687415
24,BMW,7 серия,2017,седан,6 900 000,3.0,чёрный,полный,левый,дизель,не битый,1,,320 л.с.,10 км,WBA7C610*0B****97,автомат,https://www.avito.ru/moskva/avtomobili/bmw_7_seriya_2017_1649216264
25,BMW,1 серия,2007,хетчбэк,380 000,1.6,чёрный,задний,левый,бензин,не битый,3,5.0,115 л.с.,140000 км,WBAUE110*0P****61,механика,https://www.avito.ru/moskva/avtomobili/bmw_1_seriya_2007_1491940240
26,BMW,3 серия GT,2013,хетчбэк,1 199 000,2.0,белый,задний,левый,бензин,не битый,2,,184 л.с.,109205 км,WBA3X110*0D****70,автомат,https://www.avito.ru/moskva/avtomobili/bmw_3_seriya_gt_2013_982687689
27,BMW,X5,2016,внедорожник,2 650 000,3.0,чёрный,полный,левый,дизель,не битый,2,5.0,218 л.с.,90000 км,X4XKT294*00****77,автомат,https://www.avito.ru/moskva/avtomobili/bmw_x5_2016_1464510020
28,BMW,3 серия,2010,седан,610 000,2.0,белый,задний,левый,бензин,не битый,2,5.0,136 л.с.,165000 км,X4XPF784*AV****45,автомат,https://www.avito.ru/moskva/avtomobili/bmw_3_seriya_2010_1529494495
29,BMW,X5,2017,внедорожник,3 890 000,3.0,чёрный,полный,левый,дизель,не битый,1,5.0,249 л.с.,24000 км,X4XKS494*00****78,автомат,https://www.avito.ru/moskva/avtomobili/bmw_x5_2017_1695732755
30,BMW,7 серия,2010,седан,1 270 000,3.0,чёрный,задний,левый,дизель,не битый,2,5.0,245 л.с.,240000 км,WBAKM210*0C****55,автомат,https://www.avito.ru/moskva/avtomobili/bmw_7_seriya_2010_1550043903
31,BMW,3 серия,2016,седан,1 399 999,1.5,синий,задний,левый,бензин,не битый,1,4.0,136 л.с.,21900 км,WBA8E310*0K****59,автомат,https://www.avito.ru/moskva/avtomobili/bmw_3_seriya_2016_1712731104
32,BMW,X5,2005,внедорожник,595 000,4.4,чёрный,полный,левый,бензин,не битый,2,,319 л.с.,295000 км,WBAFB510*0L****41,автомат,https://www.avito.ru/moskva/avtomobili/bmw_x5_2005_959710855
33,BMW,X5,2012,внедорожник,1 395 000,3.0,чёрный,полный,левый,бензин,не битый,2,5.0,306 л.с.,119000 км,X4XZV411*0L****31,автомат,https://www.avito.ru/moskva/avtomobili/bmw_x5_2012_1486201041
