,Марка,Модель,Год выпуска,Тип кузова,Цена,Объём двигателя,Цвет,Привод,Руль,Тип двигателя,Состояние,Владельцев по ПТС,Количество дверей,Мощность двигателя,Пробег,VIN или номер кузова,Коробка передач,Ссылка
0,ГАЗ,Соболь 2752,2017,фургон,649 999,2.7,белый,полный,левый,бензин,не битый,1,,106 л.с.,20000 км,X9627527*H0****20,механика,https://www.avito.ru/moskva/avtomobili/gaz_sobol_2752_2017_1320971899
1,ГАЗ,ГАЗель Next,2015,фургон,670 000,2.7,белый,задний,левый,бензин,не битый,1,,107 л.с.,132297 км,X96A23R2*F2****89,механика,https://www.avito.ru/moskva/avtomobili/gaz_gazel_next_2015_1078878683
2,ГАЗ,Соболь 2310,2016,фургон,385 000,2.9,белый,задний,левый,бензин,не битый,1,2,100 л.с.,86000 км,Z9D2704A*F0****12,механика,https://www.avito.ru/moskva/avtomobili/gaz_sobol_2310_2016_1409243442
3,ГАЗ,Соболь 2217,2007,микроавтобус,120 000,2.5,серый,задний,левый,бензин,не битый,2,,140 л.с.,200000 км,X9622170*70****06,механика,https://www.avito.ru/moskva/avtomobili/gaz_sobol_2217_2007_1433427016
4,ГАЗ,ГАЗель 2705,2012,фургон,290 000,2.9,синий,задний,левый,бензин,не битый,1,4,106 л.с.,122000 км,X9627050*C0****24,механика,https://www.avito.ru/moskva/avtomobili/gaz_gazel_2705_2012_1451375111
5,ГАЗ,ГАЗель Next,2014,фургон,710 000,2.7,серый,задний,левый,дизель,не битый,2,,150 л.с.,60000 км,X3X27473*E0****16,механика,https://www.avito.ru/moskva/avtomobili/gaz_gazel_next_2014_1408850736
6,ГАЗ,ГАЗель,2012,фургон,399 000,2.9,белый,задний,левый,бензин,не битый,2,2,107 л.с.,111000 км,X7223255*B0****71,механика,https://www.avito.ru/moskva/avtomobili/gaz_gazel_2012_1510243370
7,ГАЗ,ГАЗель 3302,2013,фургон,520 000,2.8,белый,задний,левый,дизель,не битый,1,,120 л.с.,180000 км,XU42834P*D0****96,механика,https://www.avito.ru/moskva/avtomobili/gaz_gazel_3302_2013_1254802246
8,ГАЗ,Соболь 2217,2003,микроавтобус,150 000,2.3,красный,задний,левый,бензин,не битый,2,5,98 л.с.,180000 км,XTH22171*30****85,механика,https://www.avito.ru/moskva/avtomobili/gaz_sobol_2217_2003_1625446195
9,ГАЗ,31105 Волга,2006,седан,145 000,2.3,синий,задний,левый,бензин,не битый,4+,4,131 л.с.,112359 км,X9631105*61****40,механика,https://www.avito.ru/moskva/avtomobili/gaz_31105_volga_2006_1510203492
10,ГАЗ,ГАЗель 3221,2008,микроавтобус,229 990,2.5,серый,задний,левый,бензин,не битый,2,5,123 л.с.,250000 км,X9632213*80****93,механика,https://www.avito.ru/moskva/avtomobili/gaz_gazel_3221_2008_1527352512
11,ГАЗ,Соболь,2006,фургон,167 000,2.5,чёрный,задний,левый,бензин,не битый,3,,140 л.с.,120000 км,X9627520*60****44,механика,https://www.avito.ru/moskva/avtomobili/gaz_sobol_2006_1368017466
12,ГАЗ,ГАЗель Next,2016,фургон,905 000,2.7,белый,задний,левый,дизель,не битый,1,,150 л.с.,87000 км,X96A32R3*G0****31,механика,https://www.avito.ru/moskva/avtomobili/gaz_gazel_next_2016_1227310479
13,ГАЗ,ГАЗель 3302,2007,фургон,190 000,2.4,синий,задний,левый,бензин,не битый,2,2,140 л.с.,98000 км,X3X27471*70****86,механика,https://www.avito.ru/moskva/avtomobili/gaz_gazel_3302_2007_1092699379
14,ГАЗ,ГАЗель 3302,2010,пикап,330 000,2.8,белый,задний,левый,бензин,не битый,2,2,110 л.с.,250000 км,X9633020*A2****93,механика,https://www.avito.ru/moskva/avtomobili/gaz_gazel_3302_2010_1135077398
15,ГАЗ,Соболь 2752,2012,фургон,265 000,2.9,белый,задний,левый,бензин,не битый,1,4,109 л.с.,117000 км,X9627520*C0****95,механика,https://www.avito.ru/moskva/avtomobili/gaz_sobol_2752_2012_1636315560
16,ГАЗ,ГАЗель 2705,2013,фургон,368 000,2.9,серебряный,задний,левый,бензин,не битый,1,,106 л.с.,75510 км,X9627050*C0****87,механика,https://www.avito.ru/moskva/avtomobili/gaz_gazel_2705_2013_1507710144
17,ГАЗ,ГАЗель 3302,2006,фургон,240 000,2.5,белый,задний,левый,бензин,не битый,4+,2,140 л.с.,170000 км,XSU28180*60****39,механика,https://www.avito.ru/moskva/avtomobili/gaz_gazel_3302_2006_1456332908
18,ГАЗ,ГАЗель 33023,2012,фургон,435 000,2.9,белый,задний,левый,бензин,не битый,1,,107 л.с.,141000 км,Z7417244*B0****04,механика,https://www.avito.ru/moskva/avtomobili/gaz_gazel_33023_2012_1349662544
19,ГАЗ,ГАЗель 33023,2013,пикап,515 000,2.9,белый,задний,левый,бензин,не битый,2,2,107 л.с.,144000 км,X9633023*D0****63,механика,https://www.avito.ru/moskva/avtomobili/gaz_gazel_33023_2013_1078482006
20,ГАЗ,Соболь 2217,2005,минивэн,130 000,2.3,серый,передний,левый,бензин,не битый,3,4,140 л.с.,170000 км,X9622170*60****79,механика,https://www.avito.ru/moskva/avtomobili/gaz_sobol_2217_2005_1590622018
21,ГАЗ,ГАЗель Next,2017,фургон,1 000 000,2.8,чёрный,задний,левый,дизель,не битый,1,,150 л.с.,97000 км,XUJ3037K*H0****70,механика,https://www.avito.ru/moskva/avtomobili/gaz_gazel_next_2017_1476866767
22,ГАЗ,ГАЗель 2705,2012,фургон,285 000,2.9,синий,задний,левый,бензин,не битый,1,,107 л.с.,103000 км,X9627050*B0****85,механика,https://www.avito.ru/moskva/avtomobili/gaz_gazel_2705_2012_999975360
23,ГАЗ,Соболь 2310,2008,фургон,250 000,2.5,синий,задний,левый,бензин,не битый,2,2,100 л.с.,250000 км,X5J17090*80****92,механика,https://www.avito.ru/moskva/avtomobili/gaz_sobol_2310_2008_1577495909
24,ГАЗ,3102 Волга,2001,седан,105 000,2.5,чёрный,задний,левый,бензин,не битый,2,,130 л.с.,270000 км,XTH31020*10****49,механика,https://www.avito.ru/moskva/avtomobili/gaz_3102_volga_2001_1314627733
25,ГАЗ,ГАЗель 3302,2007,фургон,249 000,2.5,белый,задний,левый,бензин,не битый,2,2,140 л.с.,170000 км,XU42834B*70****85,механика,https://www.avito.ru/moskva/avtomobili/gaz_gazel_3302_2007_1703240562
26,ГАЗ,ГАЗель 3302,2012,пикап,325 000,2.9,белый,задний,левый,бензин,не битый,1,2,107 л.с.,154200 км,X9633020*C2****84,механика,https://www.avito.ru/moskva/avtomobili/gaz_gazel_3302_2012_1638697248
27,ГАЗ,ГАЗель,2010,фургон,350 000,2.9,белый,задний,левый,бензин,не битый,3,2,107 л.с.,220000 км,X5J27900*B0****55,механика,https://www.avito.ru/moskva/avtomobili/gaz_gazel_2010_1450785605
28,ГАЗ,ГАЗель 2705,2000,фургон,99 000,2.4,белый,задний,левый,бензин,не битый,2,5,86 л.с.,100000 км,XTH27050*Y0****26,механика,https://www.avito.ru/moskva/avtomobili/gaz_gazel_2705_2000_1645194005
29,ГАЗ,ГАЗель 3302,2007,внедорожник,200 000,2.5,синий,задний,левый,бензин,не битый,1,2,140 л.с.,170000 км,X9633020*72****76,механика,https://www.avito.ru/moskva/avtomobili/gaz_gazel_3302_2007_1017001347
30,ГАЗ,ГАЗель 3221,2012,микроавтобус,335 000,2.9,синий,задний,левый,бензин,не битый,1,2,107 л.с.,95000 км,X9632213*C0****51,механика,https://www.avito.ru/moskva/avtomobili/gaz_gazel_3221_2012_1476961966
31,ГАЗ,ГАЗель 3302,2014,фургон,535 000,2.8,белый,задний,левый,дизель,не битый,1,2,120 л.с.,123000 км,XU42834N*D0****12,механика,https://www.avito.ru/moskva/avtomobili/gaz_gazel_3302_2014_1570989788
32,ГАЗ,ГАЗель,2012,фургон,335 000,2.9,белый,задний,левый,бензин,не битый,1,2,106 л.с.,100000 км,Z7417241*B0****48,механика,https://www.avito.ru/moskva/avtomobili/gaz_gazel_2012_1114732692
33,ГАЗ,ГАЗель 3302,2013,фургон,469 000,2.9,синий,задний,левый,бензин,не битый,1,,99 л.с.,125000 км,Z9D2704E*D0****10,механика,https://www.avito.ru/moskva/avtomobili/gaz_gazel_3302_2013_1724434448
34,ГАЗ,Другая,2012,фургон,950 000,3.8,синий,задний,левый,дизель,не битый,2,2,150 л.с.,98000 км,X4J2785A*C0****36,механика,https://www.avito.ru/moskva_zelenograd/avtomobili/gaz_2012_1266274069
35,ГАЗ,ГАЗель Next,2016,фургон,730 000,2.7,белый,задний,левый,бензин,не битый,1,2,107 л.с.,76000 км,Z0D1220V*G0****37,механика,https://www.avito.ru/moskva/avtomobili/gaz_gazel_next_2016_962395681
36,ГАЗ,ГАЗель 3302,2013,фургон,525 000,2.9,белый,задний,левый,бензин,не битый,1,,107 л.с.,115000 км,X8B27881*D0****62,механика,https://www.avito.ru/moskva/avtomobili/gaz_gazel_3302_2013_1396244842
