,Марка,Модель,Год выпуска,Тип кузова,Цена,Объём двигателя,Цвет,Привод,Руль,Тип двигателя,Состояние,Владельцев по ПТС,Количество дверей,Мощность двигателя,Пробег,VIN или номер кузова,Коробка передач,Ссылка
0,Honda,Civic,2008,хетчбэк,395 000,1.8,красный,передний,левый,бензин,не битый,2,,140 л.с.,107000 км,SHHFK286*8U****74,автомат,https://www.avito.ru/moskva/avtomobili/honda_civic_2008_1500602960
1,Honda,Accord,2012,седан,850 000,2.4,белый,передний,левый,бензин,не битый,3,,200 л.с.,93000 км,JHMCU268*CC****59,автомат,https://www.avito.ru/moskva/avtomobili/honda_accord_2012_1597174819
2,Honda,CR-V,2010,внедорожник,868 000,2.0,серый,полный,левый,бензин,не битый,1,5.0,150 л.с.,130000 км,SHSRE585*AU****41,автомат,https://www.avito.ru/moskva/avtomobili/honda_cr-v_2010_1672671884
3,Honda,CR-V,2013,внедорожник,1 194 000,2.4,белый,полный,левый,бензин,не битый,1,5.0,190 л.с.,99000 км,1HGRM487*DL****76,автомат,https://www.avito.ru/moskva/avtomobili/honda_cr-v_2013_1521729508
4,Honda,Accord,2004,седан,330 000,2.4,белый,передний,левый,бензин,не битый,3,4.0,190 л.с.,140000 км,JHMCL968*5C****67,автомат,https://www.avito.ru/moskva/avtomobili/honda_accord_2004_1637013917
5,Honda,Civic,2012,седан,690 000,1.8,белый,передний,левый,бензин,не битый,2,4.0,142 л.с.,153000 км,NLAFB864*CW****16,автомат,https://www.avito.ru/moskva/avtomobili/honda_civic_2012_1241014167
6,Honda,Accord,2011,седан,800 000,2.4,белый,передний,левый,бензин,не битый,2,5.0,200 л.с.,144000 км,JHMCU268*CC****81,автомат,https://www.avito.ru/moskva/avtomobili/honda_accord_2011_1100061566
7,Honda,Accord,2006,седан,480 000,2.4,серебряный,передний,левый,бензин,не битый,2,4.0,190 л.с.,265000 км,JHMCL968*6C****95,автомат,https://www.avito.ru/moskva/avtomobili/honda_accord_2006_779579555
8,Honda,Accord,2005,седан,455 000,2.4,серый,передний,левый,бензин,не битый,3,,190 л.с.,115100 км,JHMCL968*6C****93,автомат,https://www.avito.ru/moskva/avtomobili/honda_accord_2005_1431905173
9,Honda,CR-V,2000,внедорожник,319 000,2.0,серебряный,передний,левый,бензин,не битый,4+,5.0,147 л.с.,149000 км,SHSRD385*1U****26,автомат,https://www.avito.ru/moskva/avtomobili/honda_cr-v_2000_1534403098
