,Марка,Модель,Год выпуска,Тип кузова,Цена,Объём двигателя,Цвет,Привод,Руль,Тип двигателя,Состояние,Владельцев по ПТС,Количество дверей,Мощность двигателя,Пробег,VIN или номер кузова,Коробка передач,Ссылка
0,Hyundai,Solaris,2014,седан,320 000,1.6,жёлтый,передний,левый,бензин,не битый,1,4,123 л.с.,250000 км,Z94CT41D*FR****93,механика,https://www.avito.ru/moskva/avtomobili/hyundai_solaris_2014_1224317660
1,Hyundai,Creta,2018,внедорожник,969 900,1.6,серый,передний,левый,бензин,не битый,1,5,123 л.с.,12 км,Z94G2811*HR****49,автомат,https://www.avito.ru/moskva/avtomobili/hyundai_creta_2018_1249558987
2,Hyundai,Santa Fe,2013,внедорожник,1 235 000,2.2,чёрный,полный,левый,дизель,не битый,1,5,197 л.с.,122200 км,KMHSU81X*DU****45,автомат,https://www.avito.ru/moskva/avtomobili/hyundai_santa_fe_2013_1706957106
3,Hyundai,Tucson,2008,внедорожник,509 000,2.0,серый,полный,левый,бензин,не битый,1,,140 л.с.,129000 км,KMHJN81B*8U****67,механика,https://www.avito.ru/moskva/avtomobili/hyundai_tucson_2008_1522166318
4,Hyundai,Solaris,2012,седан,445 000,1.6,белый,передний,левый,бензин,не битый,1,4,123 л.с.,102000 км,Z94CU41D*CR****55,автомат,https://www.avito.ru/moskva/avtomobili/hyundai_solaris_2012_1166659091
5,Hyundai,i30,2012,хетчбэк,520 000,1.6,синий,передний,левый,бензин,не битый,3,4,130 л.с.,120000 км,TMAD251B*DJ****48,автомат,https://www.avito.ru/moskva/avtomobili/hyundai_i30_2012_1335029624
6,Hyundai,Solaris,2017,седан,550 000,1.6,белый,передний,левый,бензин, битый,1,,123 л.с.,65000 км,Z94K241C*JR****28,автомат,https://www.avito.ru/moskva/avtomobili/hyundai_solaris_2017_1085981234
7,Hyundai,Solaris,2012,седан,399 000,1.6,фиолетовый,передний,левый,бензин,не битый,1,5,123 л.с.,98000 км,Z94CU41D*CR****05,механика,https://www.avito.ru/moskva/avtomobili/hyundai_solaris_2012_1177438851
8,Hyundai,Equus,2015,седан,1 250 000,3.8,чёрный,задний,левый,бензин,не битый,3,4,334 л.с.,48000 км,XWEGH41D*G0****88,автомат,https://www.avito.ru/moskva/avtomobili/hyundai_equus_2015_1436225480
9,Hyundai,H-1 (Grand Starex),2008,фургон,685 000,2.5,серебряный,задний,левый,дизель,не битый,3,5,145 л.с.,178000 км,KMFWBH7J*8U****64,механика,https://www.avito.ru/moskva/avtomobili/hyundai_h-1_grand_starex_2008_1360842657
