,Марка,Модель,Год выпуска,Тип кузова,Цена,Объём двигателя,Цвет,Привод,Руль,Тип двигателя,Состояние,Владельцев по ПТС,Количество дверей,Мощность двигателя,Пробег,VIN или номер кузова,Коробка передач,Ссылка
0,Infiniti,G37,2008,купе,645 000,3.7,серый,задний,левый,бензин,не битый,3,3,333 л.с.,100000 км,JN1GCUV3*U0****83,автомат,https://www.avito.ru/moskva/avtomobili/infiniti_g37_2008_1501289934
1,Infiniti,FX37,2011,внедорожник,1 079 000,3.7,чёрный,полный,левый,бензин,не битый,3,5,333 л.с.,94000 км,JN1TCNS5*U0****75,автомат,https://www.avito.ru/moskva/avtomobili/infiniti_fx37_2011_1547640991
2,Infiniti,QX70,2015,внедорожник,2 100 000,3.7,чёрный,полный,левый,бензин,не битый,1,5,333 л.с.,45000 км,JN1TCNS5*U0****23,автомат,https://www.avito.ru/moskva/avtomobili/infiniti_qx70_2015_1009890475
3,Infiniti,FX37,2013,внедорожник,1 550 000,3.7,чёрный,полный,левый,бензин,не битый,3,5,333 л.с.,96000 км,Z8NTCNS5*DS****92,автомат,https://www.avito.ru/moskva/avtomobili/infiniti_fx37_2013_1413322422
4,Infiniti,G35,2007,седан,550 000,3.0,чёрный,полный,левый,бензин,не битый,3,4,316 л.с.,90000 км,JN1BBNV3*U0****16,автомат,https://www.avito.ru/moskva/avtomobili/infiniti_g35_2007_1634338492
5,Infiniti,Q50,2014,седан,760 000,2.0,чёрный,задний,левый,бензин, битый,1,4,211 л.с.,46000 км,JN1BCAV3*U0****71,автомат,https://www.avito.ru/moskva/avtomobili/infiniti_q50_2014_1545847320
6,Infiniti,QX56,2011,внедорожник,1 330 000,5.6,чёрный,полный,левый,бензин,не битый,4+,5,405 л.с.,95000 км,JN1JANZ6*U0****32,автомат,https://www.avito.ru/moskva/avtomobili/infiniti_qx56_2011_1519193378
7,Infiniti,FX35,2005,внедорожник,580 000,3.5,серебряный,полный,левый,бензин,не битый,1,5,280 л.с.,125000 км,JNRAS08U*5X****40,автомат,https://www.avito.ru/moskva/avtomobili/infiniti_fx35_2005_1496571248
8,Infiniti,FX37,2013,универсал,2 000 000,3.7,чёрный,полный,левый,бензин,не битый,1,5,333 л.с.,41000 км,Z8NTCNS5*DS****52,автомат,https://www.avito.ru/moskva/avtomobili/infiniti_fx37_2013_1521225488
9,Infiniti,G35,2007,седан,645 000,3.5,чёрный,полный,левый,бензин,не битый,2,4,316 л.с.,153000 км,JN1BBNV3*U0****37,автомат,https://www.avito.ru/moskva/avtomobili/infiniti_g35_2007_1498597706
10,Infiniti,QX70,2014,внедорожник,1 700 000,3.7,чёрный,полный,левый,бензин,не битый,2,5,333 л.с.,92000 км,Z8NTCNS5*ES****58,автомат,https://www.avito.ru/moskva/avtomobili/infiniti_qx70_2014_1392409884
11,Infiniti,QX50,2014,хетчбэк,1 380 000,2.5,чёрный,полный,левый,бензин,не битый,1,4,222 л.с.,66000 км,JN1TDNJ5*U0****34,автомат,https://www.avito.ru/moskva/avtomobili/infiniti_qx50_2014_1038202526
12,Infiniti,G35,2004,купе,660 000,3.5,серебряный,задний,левый,бензин,не битый,3,2,400 л.с.,125000 км,JNKCV54E*4M****16,автомат,https://www.avito.ru/moskva/avtomobili/infiniti_g35_2004_1492920906
13,Infiniti,FX37,2010,внедорожник,920 000,3.7,чёрный,полный,левый,бензин,не битый,2,4,333 л.с.,160000 км,JN1TCNS5*U0****72,автомат,https://www.avito.ru/moskva/avtomobili/infiniti_fx37_2010_1436956350
14,Infiniti,QX70,2014,внедорожник,1 980 000,3.0,чёрный,полный,левый,дизель,не битый,2,5,238 л.с.,38000 км,JN1TDNS5*00****63,автомат,https://www.avito.ru/moskva/avtomobili/infiniti_qx70_2014_1426730949
15,Infiniti,QX70,2013,внедорожник,1 730 000,3.3,белый,полный,левый,бензин,не битый,2,4,333 л.с.,108100 км,Z8NTCNS5*DS****40,автомат,https://www.avito.ru/moskva/avtomobili/infiniti_qx70_2013_970320877
16,Infiniti,M37,2010,седан,990 000,3.7,чёрный,полный,левый,бензин,не битый,2,4,333 л.с.,115000 км,JN1BBNY5*U0****17,автомат,https://www.avito.ru/moskva/avtomobili/infiniti_m37_2010_1431057741
17,Infiniti,M35,2007,седан,370 000,3.5,чёрный,полный,левый,бензин, битый,3,5,280 л.с.,132400 км,JN1BANY5*U0****74,автомат,https://www.avito.ru/moskva/avtomobili/infiniti_m35_2007_1235428383
18,Infiniti,QX56,2011,внедорожник,1 597 000,5.6,белый,полный,левый,бензин,не битый,1,5,405 л.с.,97830 км,JN1JANZ6*U0****16,автомат,https://www.avito.ru/moskva/avtomobili/infiniti_qx56_2011_1003484405
19,Infiniti,FX37,2011,внедорожник,1 200 000,3.7,чёрный,полный,левый,бензин,не битый,2,5,333 л.с.,122000 км,JN1TCNS5*U0****69,автомат,https://www.avito.ru/moskva/avtomobili/infiniti_fx37_2011_1032491044
20,Infiniti,FX35,2008,внедорожник,650 000,3.5,чёрный,полный,левый,бензин,не битый,3,5,280 л.с.,224000 км,JN1TANS5*U0****84,автомат,https://www.avito.ru/moskva/avtomobili/infiniti_fx35_2008_1299135108
21,Infiniti,FX30,2013,внедорожник,1 649 807,3.0,чёрный,полный,левый,дизель,не битый,1,,238 л.с.,100000 км,Z8NTDNS5*DS****75,автомат,https://www.avito.ru/moskva/avtomobili/infiniti_fx30_2013_1543310992
22,Infiniti,FX50,2008,внедорожник,1 200 000,5.0,чёрный,полный,левый,бензин,не битый,1,5,400 л.с.,180000 км,JN1TBNS5*U0****75,автомат,https://www.avito.ru/moskva/avtomobili/infiniti_fx50_2008_1457483903
23,Infiniti,QX80,2015,внедорожник,2 650 000,5.6,пурпурный,полный,левый,бензин,не битый,3,5,405 л.с.,63264 км,JN1JANZ6*U0****59,автомат,https://www.avito.ru/moskva/avtomobili/infiniti_qx80_2015_1263213567
24,Infiniti,Q70,2015,седан,1 699 000,3.7,чёрный,полный,левый,бензин,не битый,3,,333 л.с.,40000 км,JN1BBNY5*U0****12,автомат,https://www.avito.ru/moskva/avtomobili/infiniti_q70_2015_1589860588
25,Infiniti,Q50,2014,седан,1 300 000,2.0,коричневый,задний,левый,бензин,не битый,1,4,211 л.с.,87000 км,JN1BCAV3*U0****74,автомат,https://www.avito.ru/moskva/avtomobili/infiniti_q50_2014_1095544335
26,Infiniti,QX56,2012,внедорожник,1 697 000,5.6,белый,полный,левый,бензин,не битый,1,5,405 л.с.,84000 км,Z8NJANZ6*CS****22,автомат,https://www.avito.ru/moskva/avtomobili/infiniti_qx56_2012_1357162468
27,Infiniti,JX,2013,внедорожник,1 290 000,3.5,чёрный,полный,левый,бензин,не битый,1,5,265 л.с.,146657 км,5N1AL0MM*DC****96,автомат,https://www.avito.ru/moskva/avtomobili/infiniti_jx_2013_1638696311
28,Infiniti,FX50,2010,внедорожник,925 000,5.0,чёрный,полный,левый,бензин,не битый,2,4,400 л.с.,168000 км,JN1TBNS5*U0****66,автомат,https://www.avito.ru/moskva/avtomobili/infiniti_fx50_2010_1485622714
29,Infiniti,FX50,2013,внедорожник,1 998 000,5.0,чёрный,полный,левый,бензин,не битый,2,5,400 л.с.,70161 км,Z8NTBNS5*DS****74,автомат,https://www.avito.ru/moskva/avtomobili/infiniti_fx50_2013_1306473733
30,Infiniti,QX56,2010,внедорожник,1 350 000,5.6,серый,полный,левый,бензин,не битый,1,5,405 л.с.,128730 км,JN1JANZ6*U0****17,автомат,https://www.avito.ru/moskva/avtomobili/infiniti_qx56_2010_1480408464
31,Infiniti,EX25,2012,внедорожник,1 250 000,2.5,белый,полный,левый,бензин,не битый,2,5,222 л.с.,31450 км,JN1TDNJ5*U0****50,автомат,https://www.avito.ru/moskva/avtomobili/infiniti_ex25_2012_1681085857
32,Infiniti,Q50,2014,седан,1 430 000,2.0,серый,задний,левый,бензин,не битый,2,4,211 л.с.,77128 км,JN1BCAV3*U0****82,автомат,https://www.avito.ru/moskva/avtomobili/infiniti_q50_2014_1443933645
33,Infiniti,Q50,2017,седан,1 820 000,2.0,чёрный,задний,левый,бензин,,,4,211 л.с.,,JN1BCAV3*U0****45,автомат,https://www.avito.ru/moskva/avtomobili/infiniti_q50_2017_1278764610
34,Infiniti,FX37,2013,внедорожник,1 730 000,3.7,серый,полный,левый,бензин,не битый,1,5,333 л.с.,96495 км,Z8NTCNS5*DS****94,автомат,https://www.avito.ru/moskva/avtomobili/infiniti_fx37_2013_1366441982
35,Infiniti,QX50,2013,внедорожник,1 410 000,2.5,белый,полный,левый,бензин,не битый,1,5,222 л.с.,79620 км,JN1TDNJ5*U0****64,автомат,https://www.avito.ru/moskva/avtomobili/infiniti_qx50_2013_1106898095
36,Infiniti,FX35,2009,внедорожник,1 080 000,3.5,чёрный,полный,левый,бензин,не битый,2,5,307 л.с.,166725 км,JN1TANS5*U0****26,автомат,https://www.avito.ru/moskva/avtomobili/infiniti_fx35_2009_1482348066
37,Infiniti,QX70,2016,внедорожник,2 540 000,3.7,белый,полный,левый,бензин,не битый,1,5,333 л.с.,18100 км,JN1TCNS5*U0****26,автомат,https://www.avito.ru/moskva/avtomobili/infiniti_qx70_2016_1604342760
