,Марка,Модель,Год выпуска,Тип кузова,Цена,Объём двигателя,Цвет,Привод,Руль,Тип двигателя,Состояние,Владельцев по ПТС,Количество дверей,Мощность двигателя,Пробег,VIN или номер кузова,Коробка передач,Ссылка
0,Land Rover,Range Rover Sport,2007,внедорожник,749 000,3.6,синий,полный,левый,дизель,не битый,3,5,272 л.с.,224310 км,SALLSAA2*8A****96,автомат,https://www.avito.ru/moskva/avtomobili/land_rover_range_rover_sport_2007_1460652228
1,Land Rover,Discovery,2018,внедорожник,5 950 550,3.0,серый,полный,левый,бензин,,,5,340 л.с.,,SALRA2BV*JA****61,автомат,https://www.avito.ru/moskva/avtomobili/land_rover_discovery_2018_1544218246
2,Land Rover,Defender,2006,универсал,820 000,2.5,зелёный,полный,левый,дизель,не битый,3,,122 л.с.,165000 км,SALLDVB5*6A****93,механика,https://www.avito.ru/moskva/avtomobili/land_rover_defender_2006_1495223572
3,Land Rover,Range Rover,2014,универсал,3 299 999,4.4,чёрный,полный,левый,дизель,не битый,2,4,340 л.с.,48400 км,SALGA3HF*EA****71,автомат,https://www.avito.ru/moskva/avtomobili/land_rover_range_rover_2014_1023510282
4,Land Rover,Discovery Sport,2017,внедорожник,1 850 000,2.2,чёрный,полный,левый,дизель,не битый,1,,149 л.с.,37000 км,SALCA2BN*HH****91,автомат,https://www.avito.ru/moskva/avtomobili/land_rover_discovery_sport_2017_1599524592
5,Land Rover,Range Rover,2006,внедорожник,580 000,4.5,синий,полный,левый,бензин,не битый,1,5,396 л.с.,255000 км,SALLMAM3*7A****71,автомат,https://www.avito.ru/moskva/avtomobili/land_rover_range_rover_2006_1178857074
6,Land Rover,Discovery,2017,внедорожник,3 333 333,3.0,чёрный,полный,левый,дизель,не битый,1,5,249 л.с.,10100 км,SALRA2BK*HA****27,автомат,https://www.avito.ru/moskva/avtomobili/land_rover_discovery_2017_1484646508
7,Land Rover,Range Rover Sport,2015,внедорожник,2 999 000,3.0,чёрный,полный,левый,дизель,не битый,1,5,249 л.с.,97813 км,SALWA2KF*GA****21,автомат,https://www.avito.ru/moskva/avtomobili/land_rover_range_rover_sport_2015_1710321493
8,Land Rover,Freelander,2007,внедорожник,629 000,2.2,серый,полный,левый,дизель,не битый,1,5,160 л.с.,141500 км,SALFA24B*7H****19,автомат,https://www.avito.ru/moskva/avtomobili/land_rover_freelander_2007_1539754001
9,Land Rover,Range Rover,2011,внедорожник,1 175 000,5.0,коричневый,полный,левый,бензин,не битый,2,5,510 л.с.,135000 км,SALLMAME*CA****80,автомат,https://www.avito.ru/moskva/avtomobili/land_rover_range_rover_2011_1532646377
