,Марка,Модель,Год выпуска,Тип кузова,Цена,Объём двигателя,Цвет,Привод,Руль,Тип двигателя,Состояние,Владельцев по ПТС,Количество дверей,Мощность двигателя,Пробег,VIN или номер кузова,Коробка передач,Ссылка
0,Lexus,ES,2018,седан,2 790 000,2.5,чёрный,передний,левый,бензин,не битый,1,,200 л.с.,440 км,JTHB11B1*02****56,автомат,https://www.avito.ru/moskva/avtomobili/lexus_es_2018_1462834120
1,Lexus,GS,2007,седан,550 000,3.5,синий,задний,левый,гибрид,не битый,4+,4,296 л.с.,177000 км,JTHBC96S*05****10,вариатор,https://www.avito.ru/moskva/avtomobili/lexus_gs_2007_1063997360
2,Lexus,IS,2014,седан,1 550 000,2.5,чёрный,задний,левый,бензин,не битый,1,4,208 л.с.,100687 км,JTHBF5D2*05****27,автомат,https://www.avito.ru/moskva/avtomobili/lexus_is_2014_1236766601
3,Lexus,GS,2008,седан,1 050 000,3.5,серый,полный,левый,бензин,не битый,2,4,305 л.с.,51000 км,JTHCE96S*80****90,автомат,https://www.avito.ru/moskva/avtomobili/lexus_gs_2008_1081708222
4,Lexus,GS F,2013,седан,1 500 000,3.5,чёрный,полный,левый,бензин,не битый,1,4,317 л.с.,120000 км,JTHCE1BL*05****05,автомат,https://www.avito.ru/moskva/avtomobili/lexus_gs_f_2013_1253707490
5,Lexus,RX,2010,внедорожник,1 250 000,3.5,синий,передний,левый,бензин,не битый,1,5,277 л.с.,150000 км,2T2ZK1BA*AC****80,автомат,https://www.avito.ru/moskva/avtomobili/lexus_rx_2010_1291379427
6,Lexus,RX,2003,внедорожник,695 000,3.0,серебряный,полный,левый,бензин,не битый,3,,204 л.с.,308000 км,JTJHF31U*00****81,автомат,https://www.avito.ru/moskva/avtomobili/lexus_rx_2003_1583591511
7,Lexus,LX,2012,внедорожник,2 550 000,5.7,чёрный,полный,левый,бензин,не битый,2,5,367 л.с.,170000 км,JTJHY00W*04****99,автомат,https://www.avito.ru/moskva/avtomobili/lexus_lx_2012_1696004216
8,Lexus,RX,2006,внедорожник,730 000,3.5,голубой,полный,левый,бензин,не битый,2,,276 л.с.,154000 км,JTJHK31U*02****79,автомат,https://www.avito.ru/moskva/avtomobili/lexus_rx_2006_1422982534
9,Lexus,LX,2018,внедорожник,6 900 000,5.7,чёрный,полный,левый,бензин,не битый,1,5,367 л.с.,10 км,JTJHY00W*04****05,автомат,https://www.avito.ru/moskva/avtomobili/lexus_lx_2018_1523636167
