,Марка,Модель,Год выпуска,Тип кузова,Цена,Объём двигателя,Цвет,Привод,Руль,Тип двигателя,Состояние,Владельцев по ПТС,Количество дверей,Мощность двигателя,Пробег,VIN или номер кузова,Коробка передач,Ссылка
0,Mazda,3,2014,седан,800 000,1.5,чёрный,передний,левый,бензин,не битый,2,4,120 л.с.,120000 км,JMZBM42A*31****49,автомат,https://www.avito.ru/moskva/avtomobili/mazda_3_2014_1381097021
1,Mazda,3,2011,седан,530 000,1.6,коричневый,передний,левый,бензин,не битый,1,,105 л.с.,90000 км,JMZBL12Z*11****60,автомат,https://www.avito.ru/moskva/avtomobili/mazda_3_2011_1242210691
2,Mazda,3,2007,седан,325 000,2.0,красный,передний,левый,бензин,не битый,2,,150 л.с.,135000 км,JMZBK12F*71****99,механика,https://www.avito.ru/moskva/avtomobili/mazda_3_2007_1268535020
3,Mazda,CX-7,2012,внедорожник,735 000,2.3,белый,полный,левый,бензин,не битый,2,5,238 л.с.,60000 км,JMZER893*00****25,автомат,https://www.avito.ru/moskva/avtomobili/mazda_cx-7_2012_1474922243
4,Mazda,CX-5,2015,внедорожник,1 180 000,2.0,коричневый,передний,левый,бензин,не битый,1,5,150 л.с.,90000 км,RUMKE197*GV****96,автомат,https://www.avito.ru/moskva/avtomobili/mazda_cx-5_2015_1246043431
5,Mazda,3,2005,хетчбэк,315 000,1.6,красный,передний,левый,бензин,не битый,3,,105 л.с.,90000 км,JMZBK14Z*61****92,автомат,https://www.avito.ru/moskva/avtomobili/mazda_3_2005_925393253
6,Mazda,2,2011,хетчбэк,420 008,1.5,красный,передний,левый,бензин,не битый,1,5,103 л.с.,151000 км,JMZDE145*00****17,автомат,https://www.avito.ru/moskva/avtomobili/mazda_2_2011_1553127568
7,Mazda,CX-7,2008,внедорожник,455 000,2.3,серый,полный,левый,бензин,не битый,2,5,238 л.с.,106000 км,JMZER893*00****30,автомат,https://www.avito.ru/moskva/avtomobili/mazda_cx-7_2008_1363584660
8,Mazda,6,2008,универсал,480 000,2.0,серебряный,передний,левый,бензин,не битый,1,5,147 л.с.,275000 км,JMZGH19F*01****57,автомат,https://www.avito.ru/moskva/avtomobili/mazda_6_2008_1293541395
9,Mazda,6,2008,седан,565 000,2.0,серый,передний,левый,бензин,не битый,2,4,147 л.с.,131300 км,JMZGH12F*01****74,автомат,https://www.avito.ru/moskva/avtomobili/mazda_6_2008_986500120
10,Mazda,CX-5,2012,внедорожник,875 000,2.0,белый,передний,левый,бензин,не битый,1,5,150 л.с.,203170 км,JMZKE197*00****68,автомат,https://www.avito.ru/moskva/avtomobili/mazda_cx-5_2012_1227364016
