,Марка,Модель,Год выпуска,Тип кузова,Цена,Объём двигателя,Цвет,Привод,Руль,Тип двигателя,Состояние,Владельцев по ПТС,Количество дверей,Мощность двигателя,Пробег,VIN или номер кузова,Коробка передач,Ссылка
0,Mercedes-Benz,Sprinter Classic,2018,фургон,1 605 000,2.1,белый,задний,левый,дизель,,,4,109 л.с.,,XDN90963*1B****22,механика,https://www.avito.ru/moskva/avtomobili/mercedes-benz_sprinter_classic_2018_1095459943
1,Mercedes-Benz,GLK-класс,2009,внедорожник,820 000,3.5,серый,полный,левый,бензин,не битый,3,5,272 л.с.,210000 км,WDC20498*1F****02,автомат,https://www.avito.ru/moskva/avtomobili/mercedes-benz_glk-klass_2009_1695004617
2,Mercedes-Benz,GL-класс,2015,внедорожник,3 100 000,4.7,чёрный,полный,левый,бензин,не битый,2,4,435 л.с.,29000 км,WDC16687*1A****68,автомат,https://www.avito.ru/moskva/avtomobili/mercedes-benz_gl-klass_2015_1032363305
3,Mercedes-Benz,GL-класс,2015,внедорожник,2 950 000,4.6,чёрный,полный,левый,бензин,не битый,4+,5,435 л.с.,112000 км,WDC16687*1A****94,автомат,https://www.avito.ru/moskva/avtomobili/mercedes-benz_gl-klass_2015_1523202917
4,Mercedes-Benz,S-класс,2005,седан,460 000,3.7,серый,полный,левый,бензин,не битый,4+,,245 л.с.,235000 км,WDB22018*1A****66,автомат,https://www.avito.ru/moskva/avtomobili/mercedes-benz_s-klass_2005_1721070857
5,Mercedes-Benz,CL-класс,2000,купе,420 000,5.0,фиолетовый,задний,левый,бензин,не битый,4+,3,306 л.с.,283000 км,WDB21537*1A****41,автомат,https://www.avito.ru/moskva/avtomobili/mercedes-benz_cl-klass_2000_1305782331
6,Mercedes-Benz,Vito,2001,фургон,370 000,2.2,серебряный,передний,левый,дизель,не битый,2,2,122 л.с.,290000 км,VSA63809*13****20,механика,https://www.avito.ru/moskva/avtomobili/mercedes-benz_vito_2001_1612943235
7,Mercedes-Benz,C-класс,2018,седан,3 026 745,1.5,серый,полный,левый,бензин,,,4,184 л.с.,,WDD20507*1R****97,автомат,https://www.avito.ru/moskva/avtomobili/mercedes-benz_c-klass_2018_1607298577
8,Mercedes-Benz,E-класс,2018,седан,4 179 442,2.0,белый,полный,левый,бензин,,,4,184 л.с.,,WDD23834*1F****96,автомат,https://www.avito.ru/moskva/avtomobili/mercedes-benz_e-klass_2018_1272497594
9,Mercedes-Benz,E-класс,2018,седан,4 273 960,2.0,синий,полный,левый,бензин,,,4,184 л.с.,,WDD23834*1F****49,автомат,https://www.avito.ru/moskva/avtomobili/mercedes-benz_e-klass_2018_1268590660
