,Марка,Модель,Год выпуска,Тип кузова,Цена,Объём двигателя,Цвет,Привод,Руль,Тип двигателя,Состояние,Владельцев по ПТС,Количество дверей,Мощность двигателя,Пробег,VIN или номер кузова,Коробка передач,Ссылка
0,Mitsubishi,ASX,2012,внедорожник,679 000,1.8,голубой,передний,левый,бензин,не битый,3,5.0,140 л.с.,95000 км,JMBXTGA3*CZ****66,вариатор,https://www.avito.ru/moskva/avtomobili/mitsubishi_asx_2012_980647733
1,Mitsubishi,Outlander,2017,внедорожник,1 350 000,2.0,белый,полный,левый,бензин,не битый,1,,146 л.с.,45000 км,Z8TXTGF2*HM****68,вариатор,https://www.avito.ru/moskva/avtomobili/mitsubishi_outlander_2017_1390846185
2,Mitsubishi,Pajero Sport,2014,внедорожник,1 415 000,2.5,чёрный,полный,левый,дизель,не битый,2,5.0,178 л.с.,57450 км,Z8TGYKH4*DM****46,автомат,https://www.avito.ru/moskva/avtomobili/mitsubishi_pajero_sport_2014_1102335671
3,Mitsubishi,L200,2013,пикап,999 000,2.5,серебряный,полный,левый,дизель,не битый,1,4.0,136 л.с.,158562 км,MMCJNKB4*FD****95,механика,https://www.avito.ru/moskva/avtomobili/mitsubishi_l200_2013_1428374183
4,Mitsubishi,L200,2003,внедорожник,290 000,2.5,серебряный,полный,левый,дизель,не битый,3,5.0,99 л.с.,384565 км,MMBJNK74*3D****32,механика,https://www.avito.ru/moskva/avtomobili/mitsubishi_l200_2003_1721198723
5,Mitsubishi,Outlander,2003,внедорожник,499 000,2.4,серебряный,полный,левый,бензин,не битый,2,5.0,160 л.с.,207000 км,JMBXRCU5*4U****52,автомат,https://www.avito.ru/moskva/avtomobili/mitsubishi_outlander_2003_1483614968
6,Mitsubishi,Colt,2006,хетчбэк,240 000,1.3,белый,передний,левый,бензин,не битый,3,5.0,95 л.с.,200000 км,XMCXNZ34*7F****27,механика,https://www.avito.ru/moskva/avtomobili/mitsubishi_colt_2006_1534689569
7,Mitsubishi,Lancer,2007,седан,250 000,1.6,зелёный,передний,левый,бензин,не битый,3,4.0,98 л.с.,143000 км,JMBSRCS3*7U****84,автомат,https://www.avito.ru/moskva/avtomobili/mitsubishi_lancer_2007_1395902765
8,Mitsubishi,Carisma,2002,хетчбэк,190 000,1.6,синий,передний,левый,бензин,не битый,2,5.0,103 л.с.,150000 км,XMCLNDA1*2F****16,механика,https://www.avito.ru/moskva/avtomobili/mitsubishi_carisma_2002_1272970718
9,Mitsubishi,Delica,2013,минивэн,599 000,1.2,серебряный,полный,правый,бензин,не битый,1,5.0,91 л.с.,83000 км,MB15S-****64,вариатор,https://www.avito.ru/moskva/avtomobili/mitsubishi_delica_2013_1318769210
10,Mitsubishi,Pajero Sport,2008,внедорожник,740 000,3.0,чёрный,полный,левый,бензин,не битый,2,5.0,170 л.с.,108000 км,JMB0RK96*8J****02,автомат,https://www.avito.ru/moskva/avtomobili/mitsubishi_pajero_sport_2008_1310149941
11,Mitsubishi,Pajero,2013,внедорожник,1 555 000,3.2,чёрный,полный,левый,дизель,не битый,2,5.0,200 л.с.,155000 км,JMBLYV98*DJ****63,автомат,https://www.avito.ru/moskva/avtomobili/mitsubishi_pajero_2013_1359299224
12,Mitsubishi,Lancer,2008,седан,425 000,1.8,красный,передний,левый,бензин,не битый,2,4.0,143 л.с.,185000 км,JMBSTCY3*8U****00,вариатор,https://www.avito.ru/moskva/avtomobili/mitsubishi_lancer_2008_1285864879
13,Mitsubishi,Delica,2014,минивэн,650 000,1.2,серебряный,полный,правый,бензин,не битый,1,5.0,91 л.с.,96000 км,MB15S-****74,вариатор,https://www.avito.ru/moskva/avtomobili/mitsubishi_delica_2014_1659985296
14,Mitsubishi,Pajero,2014,внедорожник,2 175 000,3.2,серебряный,полный,левый,дизель,не битый,1,5.0,200 л.с.,43000 км,JMBLYV98*EJ****22,автомат,https://www.avito.ru/moskva/avtomobili/mitsubishi_pajero_2014_1476277694
15,Mitsubishi,Lancer,2008,седан,365 000,1.8,бежевый,передний,левый,бензин,не битый,3,,143 л.с.,137000 км,JMBSNCY3*8U****44,механика,https://www.avito.ru/moskva/avtomobili/mitsubishi_lancer_2008_1685027278
16,Mitsubishi,L200,2007,пикап,580 000,2.5,серебряный,полный,левый,дизель,не битый,1,4.0,2 л.с.,157000 км,MMBJNKB4*7D****63,механика,https://www.avito.ru/moskva/avtomobili/mitsubishi_l200_2007_1484196535
17,Mitsubishi,ASX,2013,внедорожник,675 000,1.6,белый,передний,левый,бензин,не битый,1,,117 л.с.,64000 км,JMBXNGA1*DE****05,механика,https://www.avito.ru/moskva/avtomobili/mitsubishi_asx_2013_1615553042
18,Mitsubishi,Outlander,2016,внедорожник,845 000,2.0,серый,полный,левый,бензин, битый,1,5.0,146 л.с.,39000 км,Z8TXTGF2*HM****19,автомат,https://www.avito.ru/moskva/avtomobili/mitsubishi_outlander_2016_1717421435
19,Mitsubishi,Colt,2007,хетчбэк,175 000,1.3,чёрный,передний,левый,бензин,не битый,2,5.0,95 л.с.,227500 км,XMCXNZ34*7F****88,механика,https://www.avito.ru/moskva/avtomobili/mitsubishi_colt_2007_1436844606
20,Mitsubishi,Lancer,2007,седан,285 000,1.6,серебряный,передний,левый,бензин,не битый,1,4.0,98 л.с.,116128 км,JMBSNCS3*7U****83,механика,https://www.avito.ru/moskva/avtomobili/mitsubishi_lancer_2007_1487560044
21,Mitsubishi,Lancer,2005,седан,235 000,1.3,серебряный,передний,левый,бензин,не битый,3,4.0,82 л.с.,222000 км,JMBSNCS1*5U****95,механика,https://www.avito.ru/moskva/avtomobili/mitsubishi_lancer_2005_1602949381
22,Mitsubishi,Pajero,2007,внедорожник,830 000,3.2,серый,полный,левый,дизель,не битый,4+,5.0,165 л.с.,176600 км,JMBLYV98*7J****83,автомат,https://www.avito.ru/moskva/avtomobili/mitsubishi_pajero_2007_1271173411
