,Марка,Модель,Год выпуска,Тип кузова,Цена,Объём двигателя,Цвет,Привод,Руль,Тип двигателя,Состояние,Владельцев по ПТС,Количество дверей,Мощность двигателя,Пробег,VIN или номер кузова,Коробка передач,Ссылка
0,Porsche,Panamera 4,2017,хетчбэк,7 300 000,3.0,зелёный,полный,левый,бензин,не битый,1,5,330 л.с.,22000 км,WP0ZZZ97*HL****26,автомат,https://www.avito.ru/moskva/avtomobili/porsche_panamera_4_2017_1586971014
1,Porsche,Cayenne S,2010,внедорожник,1 905 000,4.8,чёрный,полный,левый,бензин,не битый,1,5,400 л.с.,79939 км,WP1ZZZ92*BL****07,автомат,https://www.avito.ru/moskva/avtomobili/porsche_cayenne_s_2010_1511687031
2,Porsche,Cayenne,2010,внедорожник,1 715 000,3.0,белый,полный,левый,дизель,не битый,2,,245 л.с.,90000 км,WP1ZZZ92*BL****88,автомат,https://www.avito.ru/moskva/avtomobili/porsche_cayenne_2010_1057152296
3,Porsche,Panamera,2012,хетчбэк,2 876 000,4.8,белый,полный,левый,бензин,не битый,2,5,500 л.с.,56637 км,WP0ZZZ97*CL****84,автомат,https://www.avito.ru/moskva/avtomobili/porsche_panamera_2012_1294478905
4,Porsche,Cayenne S,2005,внедорожник,450 000,4.5,чёрный,полный,левый,бензин,не битый,3,,340 л.с.,219000 км,WP1ZZZ9P*5L****84,автомат,https://www.avito.ru/moskva/avtomobili/porsche_cayenne_s_2005_1268399066
5,Porsche,Macan S,2014,внедорожник,2 495 000,3.0,синий,полный,левый,бензин,не битый,1,5,340 л.с.,29955 км,WP1ZZZ95*FL****29,автомат,https://www.avito.ru/moskva/avtomobili/porsche_macan_s_2014_1505218916
6,Porsche,Macan,2016,внедорожник,3 050 000,2.0,чёрный,полный,левый,бензин,не битый,1,,252 л.с.,53000 км,WP1ZZZ95*HL****47,автомат,https://www.avito.ru/moskva/avtomobili/porsche_macan_2016_1580547003
7,Porsche,Panamera,2009,хетчбэк,2 500 000,4.8,чёрный,полный,левый,бензин,не битый,4+,5,500 л.с.,61000 км,WP0ZZZ97*AL****82,автомат,https://www.avito.ru/moskva/avtomobili/porsche_panamera_2009_1135806264
8,Porsche,Cayenne S,2011,внедорожник,1 560 000,4.9,чёрный,полный,левый,бензин,не битый,2,5,400 л.с.,133000 км,WP1ZZZ92*CL****90,автомат,https://www.avito.ru/moskva/avtomobili/porsche_cayenne_s_2011_990160774
9,Porsche,718 Cayman S,2018,купе,5 594 212,2.5,чёрный,задний,левый,бензин,,,2,350 л.с.,,WP0ZZZ98*KS****96,автомат,https://www.avito.ru/moskva/avtomobili/porsche_718_cayman_s_2018_977843942
