,Марка,Модель,Год выпуска,Тип кузова,Цена,Объём двигателя,Цвет,Привод,Руль,Тип двигателя,Состояние,Владельцев по ПТС,Количество дверей,Мощность двигателя,Пробег,VIN или номер кузова,Коробка передач,Ссылка
0,Renault,Duster,2018,внедорожник,659 000,1.6,серый,передний,левый,бензин,,,,114 л.с.,,X7LHSRGA*60****06,механика,https://www.avito.ru/moskva/avtomobili/renault_duster_2018_1296962890
1,Renault,Sandero,2018,хетчбэк,589 990,1.6,серый,передний,левый,бензин,,,,82 л.с.,,X7L5SRAV*59****91,механика,https://www.avito.ru/moskva/avtomobili/renault_sandero_2018_1662249496
2,Renault,Kaptur,2018,внедорожник,899 000,1.6,коричневый,передний,левый,бензин,не битый,1,5.0,114 л.с.,11 км,X7LASREA*58****35,механика,https://www.avito.ru/moskva/avtomobili/renault_kaptur_2018_1632989690
3,Renault,Logan,2017,седан,499 900,1.6,белый,передний,левый,бензин,не битый,1,5.0,82 л.с.,11 км,X7L4SRAV*57****98,механика,https://www.avito.ru/moskva/avtomobili/renault_logan_2017_1720736038
4,Renault,Logan,2014,седан,285 000,1.6,синий,передний,левый,бензин,не битый,1,5.0,84 л.с.,56852 км,X7L4SRAV*50****67,механика,https://www.avito.ru/moskva/avtomobili/renault_logan_2014_1578311735
5,Renault,Logan,2014,седан,435 000,1.6,бежевый,передний,левый,бензин,не битый,1,,82 л.с.,71029 км,X7L4SRAV*50****32,механика,https://www.avito.ru/moskva/avtomobili/renault_logan_2014_1544937545
6,Renault,Logan,2012,седан,220 000,1.4,бежевый,передний,левый,бензин,не битый,2,4.0,75 л.с.,115000 км,X7LLSRB2*CH****50,механика,https://www.avito.ru/moskva/avtomobili/renault_logan_2012_1562239420
7,Renault,Sandero,2012,хетчбэк,385 000,1.6,серебряный,передний,левый,бензин,не битый,1,,103 л.с.,115000 км,X7LBSRBY*CH****19,автомат,https://www.avito.ru/moskva/avtomobili/renault_sandero_2012_1659669135
8,Renault,Megane,2000,универсал,100 000,1.6,серебряный,передний,левый,бензин,не битый,3,5.0,107 л.с.,290000 км,VF1KA040*23****76,механика,https://www.avito.ru/moskva/avtomobili/renault_megane_2000_1268011497
9,Renault,Sandero Stepway,2013,хетчбэк,450 000,1.6,красный,передний,левый,бензин,не битый,1,5.0,103 л.с.,110000 км,X7LBSRBY*DH****73,автомат,https://www.avito.ru/moskva/avtomobili/renault_sandero_stepway_2013_821477845
