,Марка,Модель,Год выпуска,Тип кузова,Цена,Объём двигателя,Цвет,Привод,Руль,Тип двигателя,Состояние,Владельцев по ПТС,Количество дверей,Мощность двигателя,Пробег,VIN или номер кузова,Коробка передач,Ссылка
0,Skoda,Octavia,2014,седан,595 000,2.0,синий,передний,левый,бензин, битый,1,4,220 л.с.,33000 км,TMBAE8NE*F0****31,автомат,https://www.avito.ru/moskva/avtomobili/skoda_octavia_2014_1651672459
1,Skoda,Octavia,2011,седан,584 900,1.8,чёрный,передний,левый,бензин,не битый,3,5,152 л.с.,107000 км,XW8BK21Z*CK****94,автомат,https://www.avito.ru/moskva/avtomobili/skoda_octavia_2011_1380355069
2,Skoda,Octavia,2014,универсал,669 000,1.4,серебряный,передний,левый,бензин,не битый,1,5,140 л.с.,103482 км,TMBJC4NE*E0****08,автомат,https://www.avito.ru/moskva/avtomobili/skoda_octavia_2014_1382305390
3,Skoda,Octavia,2011,хетчбэк,465 000,1.8,белый,передний,левый,бензин,не битый,1,,152 л.с.,82400 км,XW8CK41Z*BK****99,автомат,https://www.avito.ru/moskva/avtomobili/skoda_octavia_2011_1245792524
4,Skoda,Fabia,2012,хетчбэк,480 000,1.6,чёрный,передний,левый,бензин,не битый,1,5,105 л.с.,67000 км,TMBED25J*D3****32,автомат,https://www.avito.ru/moskva/avtomobili/skoda_fabia_2012_1033616662
5,Skoda,Yeti,2014,внедорожник,555 000,1.4,серебряный,передний,левый,бензин,не битый,1,5,122 л.с.,67000 км,XW8JJ45L*EH****01,автомат,https://www.avito.ru/moskva/avtomobili/skoda_yeti_2014_1474575056
6,Skoda,Octavia,2003,хетчбэк,215 000,1.6,серебряный,передний,левый,бензин,не битый,1,5,101 л.с.,171000 км,TMBDK01U*32****41,механика,https://www.avito.ru/moskva/avtomobili/skoda_octavia_2003_1609731412
7,Skoda,Superb,2012,хетчбэк,600 000,2.0,чёрный,передний,левый,бензин,не битый,2,,200 л.с.,210000 км,TMBAH43T*C9****52,автомат,https://www.avito.ru/moskva/avtomobili/skoda_superb_2012_1408858679
8,Skoda,Rapid,2015,седан,470 000,1.6,белый,передний,левый,бензин,не битый,2,5,90 л.с.,130000 км,XW8AG1NH*GK****32,механика,https://www.avito.ru/moskva/avtomobili/skoda_rapid_2015_1579381480
9,Skoda,Rapid,2018,седан,700 000,1.6,белый,передний,левый,бензин,не битый,1,5,110 л.с.,3000 км,XW8AC2NH*JK****89,автомат,https://www.avito.ru/moskva/avtomobili/skoda_rapid_2018_1398015915
10,Skoda,Superb,2010,седан,580 000,1.8,серый,передний,левый,бензин,не битый,3,5,152 л.с.,257000 км,XW8AB83T*BK****40,робот,https://www.avito.ru/moskva/avtomobili/skoda_superb_2010_1430208783
11,Skoda,Octavia,2012,хетчбэк,570 000,1.8,белый,передний,левый,бензин,не битый,1,5,152 л.с.,167000 км,XW8CK41Z*CK****82,автомат,https://www.avito.ru/moskva/avtomobili/skoda_octavia_2012_1364819350
12,Skoda,Octavia,2011,хетчбэк,370 000,1.8,серебряный,передний,левый,бензин,не битый,3,5,150 л.с.,210000 км,XW8DL41U*AK****83,механика,https://www.avito.ru/moskva/avtomobili/skoda_octavia_2011_1100858740
