,Марка,Модель,Год выпуска,Тип кузова,Цена,Объём двигателя,Цвет,Привод,Руль,Тип двигателя,Состояние,Владельцев по ПТС,Количество дверей,Мощность двигателя,Пробег,VIN или номер кузова,Коробка передач,Ссылка
0,SsangYong,Actyon,2014,внедорожник,778 000,2.0,красный,полный,левый,бензин,не битый,1,,149 л.с.,72000 км,RUMA0A18*D0****30,автомат,https://www.avito.ru/moskva/avtomobili/ssangyong_actyon_2014_1598399232
1,SsangYong,Stavic,2014,минивэн,989 000,2.0,красный,полный,левый,дизель,не битый,1,,149 л.с.,133000 км,KPTN0B1T*EP****78,автомат,https://www.avito.ru/moskva/avtomobili/ssangyong_stavic_2014_1069642110
2,SsangYong,Rexton,2012,внедорожник,999 000,2.7,белый,полный,левый,дизель,не битый,1,5,163 л.с.,94581 км,Z8UG0B1F*D0****68,автомат,https://www.avito.ru/moskva/avtomobili/ssangyong_rexton_2012_1680914870
3,SsangYong,Kyron,2011,внедорожник,515 000,2.0,серый,полный,левый,дизель,не битый,3,,141 л.с.,115000 км,Z8US0A1K*B0****51,автомат,https://www.avito.ru/moskva/avtomobili/ssangyong_kyron_2011_1619461613
4,SsangYong,Actyon,2013,внедорожник,680 000,2.0,белый,передний,левый,бензин,не битый,1,5,149 л.с.,91936 км,RUMA0A18*D0****69,механика,https://www.avito.ru/moskva/avtomobili/ssangyong_actyon_2013_1227345941
5,SsangYong,Actyon,2013,внедорожник,665 000,2.0,серый,полный,левый,бензин,не битый,2,,149 л.с.,31000 км,RUMA0A18*D0****40,механика,https://www.avito.ru/moskva/avtomobili/ssangyong_actyon_2013_1667065914
6,SsangYong,Kyron,2007,внедорожник,430 000,2.0,чёрный,полный,левый,дизель,не битый,3,5,140 л.с.,123000 км,XU3S0A1K*7Z****59,автомат,https://www.avito.ru/moskva/avtomobili/ssangyong_kyron_2007_1412981493
7,SsangYong,Kyron,2009,внедорожник,515 000,2.3,чёрный,полный,левый,бензин,не битый,1,,150 л.с.,83914 км,XU3S0A16*9Z****85,механика,https://www.avito.ru/moskva/avtomobili/ssangyong_kyron_2009_1001943872
8,SsangYong,Kyron,2010,внедорожник,555 000,2.0,синий,полный,левый,дизель,не битый,1,,141 л.с.,93000 км,Z8US0A1K*A0****19,механика,https://www.avito.ru/moskva/avtomobili/ssangyong_kyron_2010_1471659141
9,SsangYong,Kyron,2011,внедорожник,559 000,2.3,чёрный,полный,левый,бензин,не битый,1,5,150 л.с.,95000 км,Z8US0A16*B0****35,автомат,https://www.avito.ru/moskva/avtomobili/ssangyong_kyron_2011_1023482120
10,SsangYong,Actyon,2011,пикап,435 000,2.0,серебряный,полный,левый,дизель,не битый,1,,141 л.с.,87000 км,Z8UCA1EK*A0****26,механика,https://www.avito.ru/moskva/avtomobili/ssangyong_actyon_2011_1414769832
11,SsangYong,Actyon,2012,внедорожник,599 000,2.0,серый,полный,левый,дизель,не битый,1,5,149 л.с.,81000 км,Z8UA0A1S*C0****24,автомат,https://www.avito.ru/moskva/avtomobili/ssangyong_actyon_2012_952173098
12,SsangYong,Kyron,2013,внедорожник,583 000,2.3,чёрный,полный,левый,бензин,не битый,1,5,150 л.с.,154297 км,RUMS0A16*D0****09,автомат,https://www.avito.ru/moskva/avtomobili/ssangyong_kyron_2013_1398951299
13,SsangYong,Kyron,2008,внедорожник,429 990,2.0,серебряный,полный,левый,дизель,не битый,4+,5,141 л.с.,114000 км,KPTS0A1K*9P****06,механика,https://www.avito.ru/moskva/avtomobili/ssangyong_kyron_2008_1455127363
14,SsangYong,Kyron,2008,внедорожник,429 000,2.3,чёрный,полный,левый,бензин,не битый,2,5,150 л.с.,109600 км,XU3S0A16*8Z****08,автомат,https://www.avito.ru/moskva/avtomobili/ssangyong_kyron_2008_977933285
15,SsangYong,Rexton,2012,внедорожник,879 000,2.7,белый,полный,левый,дизель,не битый,3,5,163 л.с.,72500 км,Z8UG0A1F*C0****73,автомат,https://www.avito.ru/moskva/avtomobili/ssangyong_rexton_2012_1671514279
16,SsangYong,Kyron,2010,внедорожник,519 000,2.3,синий,полный,левый,бензин,не битый,1,5,150 л.с.,93000 км,Z8US0A16*A0****03,автомат,https://www.avito.ru/moskva/avtomobili/ssangyong_kyron_2010_1043048508
17,SsangYong,Actyon,2008,внедорожник,345 000,2.3,коричневый,полный,левый,бензин,не битый,1,5,150 л.с.,142000 км,XU3C0B16*7Z****74,автомат,https://www.avito.ru/moskva/avtomobili/ssangyong_actyon_2008_1682910886
