,Марка,Модель,Год выпуска,Тип кузова,Цена,Объём двигателя,Цвет,Привод,Руль,Тип двигателя,Состояние,Владельцев по ПТС,Количество дверей,Мощность двигателя,Пробег,VIN или номер кузова,Коробка передач,Ссылка
0,Subaru,Forester,2012,внедорожник,900 000,2.0,чёрный,полный,левый,бензин,не битый,3,5.0,150 л.с.,61000 км,JF1SHJLS*CG****46,автомат,https://www.avito.ru/moskva/avtomobili/subaru_forester_2012_1088862914
1,Subaru,Forester,2008,внедорожник,685 000,2.0,серый,полный,левый,бензин,не битый,1,4.0,150 л.с.,130000 км,JF1SH5LS*9G****56,автомат,https://www.avito.ru/moskva/avtomobili/subaru_forester_2008_1335606531
2,Subaru,Legacy,2010,седан,660 000,2.5,серый,полный,левый,бензин,не битый,2,4.0,173 л.с.,105000 км,4S3BMCA6*A3****39,вариатор,https://www.avito.ru/moskva/avtomobili/subaru_legacy_2010_946093374
3,Subaru,Impreza,2005,седан,345 000,2.0,чёрный,полный,левый,бензин,не битый,4+,4.0,160 л.с.,219000 км,JF1GD9LE*6G****29,автомат,https://www.avito.ru/moskva/avtomobili/subaru_impreza_2005_1455680533
4,Subaru,Legacy,2005,седан,360 000,2.0,чёрный,полный,левый,бензин,не битый,2,4.0,136 л.с.,169975 км,JF1BL5LJ*5G****84,механика,https://www.avito.ru/moskva/avtomobili/subaru_legacy_2005_1432289195
5,Subaru,Forester,2000,универсал,265 000,2.5,зелёный,полный,левый,бензин,не битый,3,5.0,150 л.с.,218175 км,JF1SF635*1H****92,автомат,https://www.avito.ru/moskva/avtomobili/subaru_forester_2000_1077605346
6,Subaru,Forester,2016,внедорожник,1 500 000,2.0,серый,полный,левый,бензин,не битый,1,5.0,150 л.с.,41300 км,JF1SJ5LC*GG****59,вариатор,https://www.avito.ru/moskva/avtomobili/subaru_forester_2016_1309063636
7,Subaru,Impreza,2006,универсал,319 500,2.0,серебряный,полный,левый,бензин,не битый,3,5.0,160 л.с.,221000 км,JF1GG9LE*6G****63,автомат,https://www.avito.ru/moskva/avtomobili/subaru_impreza_2006_1320477951
8,Subaru,Forester,2012,универсал,1 045 000,2.5,зелёный,полный,левый,бензин,не битый,2,5.0,172 л.с.,88000 км,JF1SHMLW*CG****61,механика,https://www.avito.ru/moskva/avtomobili/subaru_forester_2012_962111553
9,Subaru,Legacy,2003,универсал,470 000,2.0,серебряный,полный,правый,бензин,не битый,3,5.0,280 л.с.,130000 км,BP5****06,механика,https://www.avito.ru/moskva_zelenograd/avtomobili/subaru_legacy_2003_1566423567
10,Subaru,Outback,2010,универсал,780 000,2.5,синий,полный,левый,бензин,не битый,1,,167 л.с.,214732 км,JF1BR9L9*BG****88,вариатор,https://www.avito.ru/moskva/avtomobili/subaru_outback_2010_1720835391
11,Subaru,Impreza,2010,хетчбэк,510 000,2.0,чёрный,полный,левый,бензин,не битый,3,5.0,150 л.с.,175000 км,JF1GH7LS*BG****93,автомат,https://www.avito.ru/moskva/avtomobili/subaru_impreza_2010_1270331992
12,Subaru,Impreza,2012,седан,700 000,2.0,серебряный,полный,левый,бензин,не битый,1,4.0,150 л.с.,107000 км,JF1GJ7LC*CG****89,вариатор,https://www.avito.ru/moskva/avtomobili/subaru_impreza_2012_1391419695
13,Subaru,Forester,2013,внедорожник,1 099 000,2.5,серый,полный,левый,бензин,не битый,1,,171 л.с.,70000 км,JF1SJ9LC*DG****18,вариатор,https://www.avito.ru/moskva/avtomobili/subaru_forester_2013_1493632360
14,Subaru,Forester,2012,универсал,925 000,2.5,серебряный,полный,левый,бензин,не битый,1,,171 л.с.,78720 км,JF1SHMLS*CG****93,автомат,https://www.avito.ru/moskva/avtomobili/subaru_forester_2012_1351876540
15,Subaru,Legacy,2003,седан,350 000,2.0,белый,полный,правый,бензин,не битый,2,4.0,180 л.с.,300000 км,BL5-****15,автомат,https://www.avito.ru/moskva/avtomobili/subaru_legacy_2003_1282186499
16,Subaru,Forester,2010,внедорожник,820 000,2.5,серый,полный,левый,бензин,не битый,2,5.0,230 л.с.,71000 км,JF1SH9LT*AG****83,автомат,https://www.avito.ru/moskva/avtomobili/subaru_forester_2010_1570470352
17,Subaru,Legacy,2004,седан,470 000,2.5,синий,полный,левый,бензин,не битый,4+,5.0,250 л.с.,160000 км,4S3BL686*56****36,механика,https://www.avito.ru/moskva/avtomobili/subaru_legacy_2004_783541640
18,Subaru,Outback,2008,универсал,640 000,2.5,бежевый,полный,левый,бензин,не битый,3,,173 л.с.,180000 км,JF1BP9LL*8G****63,автомат,https://www.avito.ru/moskva/avtomobili/subaru_outback_2008_1006953411
19,Subaru,Legacy,2010,седан,680 000,2.5,серый,полный,левый,бензин,не битый,2,4.0,265 л.с.,142199 км,JF1BM9LV*BG****96,автомат,https://www.avito.ru/moskva/avtomobili/subaru_legacy_2010_1305818854
20,Subaru,Forester,2008,внедорожник,580 000,2.0,серый,полный,левый,бензин,не битый,2,5.0,150 л.с.,136000 км,JF1SH5LS*9G****20,автомат,https://www.avito.ru/moskva/avtomobili/subaru_forester_2008_1223967771
21,Subaru,Forester,2008,универсал,770 000,2.0,серебряный,полный,левый,бензин,не битый,1,5.0,150 л.с.,125000 км,JF1SH5LS*9G****18,автомат,https://www.avito.ru/moskva/avtomobili/subaru_forester_2008_1566611314
22,Subaru,WRX,2007,хетчбэк,750 000,2.5,синий,полный,левый,бензин,не битый,2,5.0,230 л.с.,114300 км,JF1GHELD*8G****60,механика,https://www.avito.ru/moskva/avtomobili/subaru_wrx_2007_1408786291
23,Subaru,Tribeca,2007,внедорожник,625 000,3.0,серый,полный,левый,бензин,не битый,3,5.0,245 л.с.,137000 км,4S4WXELU*7S****11,автомат,https://www.avito.ru/moskva/avtomobili/subaru_tribeca_2007_1570094327
24,Subaru,Forester,2014,внедорожник,1 150 000,2.5,белый,полный,левый,бензин,не битый,1,5.0,175 л.с.,72000 км,JF1SJ9LC*EG****20,автомат,https://www.avito.ru/moskva/avtomobili/subaru_forester_2014_1431792055
25,Subaru,Forester,2011,внедорожник,699 000,2.0,серый,полный,левый,бензин,не битый,1,5.0,150 л.с.,94201 км,JF1SHJLS*BG****89,автомат,https://www.avito.ru/moskva/avtomobili/subaru_forester_2011_1308387055
26,Subaru,Outback,2002,универсал,245 000,2.5,зелёный,полный,левый,бензин,не битый,2,,156 л.с.,156000 км,4S3BH665*17****92,автомат,https://www.avito.ru/moskva/avtomobili/subaru_outback_2002_1236693021
27,Subaru,Forester,2013,внедорожник,1 085 000,2.0,зелёный,полный,левый,бензин,не битый,1,,150 л.с.,95874 км,JF1SJ5LC*DG****09,вариатор,https://www.avito.ru/moskva/avtomobili/subaru_forester_2013_1687017165
28,Subaru,Forester,2008,внедорожник,565 000,2.0,чёрный,полный,левый,бензин,не битый,4+,5.0,150 л.с.,139000 км,JF1SH5LS*9G****25,механика,https://www.avito.ru/moskva/avtomobili/subaru_forester_2008_1441673478
29,Subaru,Forester,2000,внедорожник,500 000,2.0,синий,полный,правый,бензин,не битый,4+,5.0,240 л.с.,120000 км,SF5****34,автомат,https://www.avito.ru/moskva/avtomobili/subaru_forester_2000_1445229741
30,Subaru,Impreza,2006,универсал,350 000,2.0,чёрный,полный,левый,бензин,не битый,4+,5.0,160 л.с.,180000 км,JF1GG9LE*6G****89,автомат,https://www.avito.ru/moskva/avtomobili/subaru_impreza_2006_1429487536
31,Subaru,Forester,2005,универсал,470 000,2.5,серый,полный,левый,бензин,не битый,2,5.0,173 л.с.,140226 км,JF1SG636*6H****48,автомат,https://www.avito.ru/moskva/avtomobili/subaru_forester_2005_1505486344
32,Subaru,XV,2012,хетчбэк,870 000,2.0,оранжевый,полный,левый,бензин,не битый,1,,150 л.с.,112000 км,JF1GP7LC*CG****13,вариатор,https://www.avito.ru/moskva/avtomobili/subaru_xv_2012_1252411245
33,Subaru,Forester,2003,универсал,400 000,2.5,серебряный,полный,левый,бензин,не битый,4+,5.0,165 л.с.,121000 км,JF1SG636*4H****89,автомат,https://www.avito.ru/moskva/avtomobili/subaru_forester_2003_1465445434
34,Subaru,Baja,2003,пикап,420 000,2.5,чёрный,полный,левый,газ,не битый,3,4.0,165 л.с.,170000 км,4S4BT62C*36****04,механика,https://www.avito.ru/moskva/avtomobili/subaru_baja_2003_1441939887
35,Subaru,Forester,2011,внедорожник,840 000,2.0,белый,полный,левый,бензин,не битый,1,5.0,150 л.с.,116000 км,JF1SHJLS*BG****31,автомат,https://www.avito.ru/moskva/avtomobili/subaru_forester_2011_1453041468
36,Subaru,Legacy,2004,седан,360 000,3.0,зелёный,полный,левый,бензин,не битый,4+,4.0,245 л.с.,215000 км,JF1BLELU*4G****78,автомат,https://www.avito.ru/moskva/avtomobili/subaru_legacy_2004_1604964458
37,Subaru,Tribeca,2012,универсал,1 250 000,3.6,серый,полный,левый,бензин,не битый,2,5.0,258 л.с.,168000 км,4S4WXFLU*CS****83,автомат,https://www.avito.ru/moskva/avtomobili/subaru_tribeca_2012_1714084748
38,Subaru,Impreza,2003,седан,439 000,2.0,чёрный,полный,правый,бензин,не битый,3,4.0,300 л.с.,200000 км,134****90,механика,https://www.avito.ru/moskva/avtomobili/subaru_impreza_2003_695823362
39,Subaru,Forester,2006,универсал,500 000,2.5,бежевый,полный,левый,бензин,не битый,3,5.0,230 л.с.,148355 км,JF1SG9LT*6G****52,автомат,https://www.avito.ru/moskva/avtomobili/subaru_forester_2006_1430440731
40,Subaru,Forester,2017,внедорожник,1 965 000,2.5,чёрный,полный,левый,бензин,не битый,1,5.0,171 л.с.,18000 км,JF1SJ9LC*JG****51,вариатор,https://www.avito.ru/moskva/avtomobili/subaru_forester_2017_1489243028
41,Subaru,Legacy,2003,универсал,355 000,2.0,серебряный,полный,левый,бензин,не битый,2,5.0,125 л.с.,157000 км,JF1BH5LR*3G****66,автомат,https://www.avito.ru/moskva/avtomobili/subaru_legacy_2003_1667193605
42,Subaru,Tribeca,2008,внедорожник,785 000,3.6,серый,полный,левый,бензин,не битый,1,5.0,256 л.с.,157000 км,4S4WX93D*84****74,автомат,https://www.avito.ru/moskva/avtomobili/subaru_tribeca_2008_942670334
43,Subaru,XV,2012,внедорожник,719 000,2.0,чёрный,полный,левый,бензин,не битый,1,5.0,150 л.с.,85000 км,JF1GP7LA*CG****08,механика,https://www.avito.ru/moskva/avtomobili/subaru_xv_2012_1170257889
44,Subaru,Forester,2015,внедорожник,1 550 000,2.0,чёрный,полный,левый,бензин,не битый,1,4.0,241 л.с.,68000 км,JF1SJGL8*FG****15,автомат,https://www.avito.ru/moskva/avtomobili/subaru_forester_2015_1419079729
45,Subaru,Legacy,2003,седан,375 000,2.0,чёрный,полный,правый,бензин,не битый,2,4.0,280 л.с.,200000 км,BL5-****58,автомат,https://www.avito.ru/moskva/avtomobili/subaru_legacy_2003_1594627459
46,Subaru,WRX,2007,хетчбэк,710 000,2.5,серый,полный,левый,бензин,не битый,3,5.0,230 л.с.,70000 км,JF1GHELD*8G****60,механика,https://www.avito.ru/moskva/avtomobili/subaru_wrx_2007_1170122037
47,Subaru,Impreza,2001,универсал,250 000,2.5,синий,полный,левый,бензин,не битый,3,5.0,165 л.с.,240000 км,JF1GG655*2H****46,автомат,https://www.avito.ru/moskva/avtomobili/subaru_impreza_2001_418085726
48,Subaru,XV,2013,внедорожник,990 000,2.0,серый,полный,левый,бензин,не битый,2,,150 л.с.,91721 км,JF1GP7LC*EG****97,вариатор,https://www.avito.ru/moskva/avtomobili/subaru_xv_2013_1683174405
49,Subaru,Legacy,2001,универсал,175 000,2.0,чёрный,полный,правый,бензин,не битый,2,5.0,260 л.с.,270000 км,BH5-****52,автомат,https://www.avito.ru/moskva/avtomobili/subaru_legacy_2001_1377859476
50,Subaru,Legacy,2001,универсал,175 000,2.0,чёрный,полный,правый,бензин,не битый,2,5.0,260 л.с.,270000 км,BH5-****52,автомат,https://www.avito.ru/moskva/avtomobili/subaru_legacy_2001_1377859476
