,Марка,Модель,Год выпуска,Тип кузова,Цена,Объём двигателя,Цвет,Привод,Руль,Тип двигателя,Состояние,Владельцев по ПТС,Количество дверей,Мощность двигателя,Пробег,VIN или номер кузова,Коробка передач,Ссылка
0,Suzuki,Grand Vitara,2007,внедорожник,550 000,2.0,серебряный,полный,левый,бензин,не битый,3,,140 л.с.,65000 км,JSAJTD54*00****00,автомат,https://www.avito.ru/moskva/avtomobili/suzuki_grand_vitara_2007_1688373812
1,Suzuki,Grand Vitara,2008,внедорожник,495 000,2.4,чёрный,полный,левый,бензин,не битый,3,5,169 л.с.,180000 км,JSAJTDA4*00****42,механика,https://www.avito.ru/moskva_zelenograd/avtomobili/suzuki_grand_vitara_2008_937157601
2,Suzuki,Cultus Wagon,2001,седан,124 000,1.5,серый,передний,правый,бензин,не битый,2,5,97 л.с.,204000 км,GC21S-****28,автомат,https://www.avito.ru/moskva/avtomobili/suzuki_cultus_wagon_2001_1186813039
3,Suzuki,Grand Vitara,2008,внедорожник,575 000,2.0,чёрный,полный,левый,бензин,не битый,2,5,140 л.с.,160000 км,JSAJTD54*00****00,автомат,https://www.avito.ru/moskva/avtomobili/suzuki_grand_vitara_2008_1517838445
4,Suzuki,Swift,2008,хетчбэк,165 000,1.3,чёрный,передний,левый,бензин,не битый,1,5,91 л.с.,160000 км,TSMMZC11*00****14,робот,https://www.avito.ru/moskva/avtomobili/suzuki_swift_2008_1706252601
5,Suzuki,SX4,2008,хетчбэк,425 000,1.6,чёрный,передний,левый,бензин,не битый,1,5,107 л.с.,76000 км,JSAGYA21*00****91,автомат,https://www.avito.ru/moskva/avtomobili/suzuki_sx4_2008_1391233883
6,Suzuki,Ignis,2006,хетчбэк,310 000,1.5,чёрный,полный,левый,бензин,не битый,1,5,99 л.с.,120000 км,TSMMHY81*00****11,механика,https://www.avito.ru/moskva/avtomobili/suzuki_ignis_2006_1596856174
7,Suzuki,SX4,2014,хетчбэк,699 000,1.6,чёрный,передний,левый,бензин,не битый,1,5,117 л.с.,40277 км,TSMJYA22*00****23,вариатор,https://www.avito.ru/moskva/avtomobili/suzuki_sx4_2014_1582658375
8,Suzuki,Grand Vitara,2013,внедорожник,830 000,2.0,коричневый,полный,левый,бензин,не битый,1,,140 л.с.,109997 км,JSAJTD54*00****43,механика,https://www.avito.ru/moskva/avtomobili/suzuki_grand_vitara_2013_1593409836
9,Suzuki,SX4,2010,хетчбэк,550 000,1.6,серебряный,полный,левый,бензин,не битый,1,5,112 л.с.,88000 км,JSAGYB21*00****08,автомат,https://www.avito.ru/moskva/avtomobili/suzuki_sx4_2010_1060176037
10,Suzuki,Grand Vitara,2013,внедорожник,819 000,2.0,серый,полный,левый,бензин,не битый,1,5,140 л.с.,88500 км,JSAJTD54*00****26,механика,https://www.avito.ru/moskva/avtomobili/suzuki_grand_vitara_2013_1009304342
11,Suzuki,Grand Vitara,2011,внедорожник,880 000,2.4,серый,полный,левый,бензин,не битый,1,,169 л.с.,68168 км,JSAJTDA4*00****46,автомат,https://www.avito.ru/moskva/avtomobili/suzuki_grand_vitara_2011_1317924543
12,Suzuki,Grand Vitara,2008,внедорожник,645 000,2.4,золотой,полный,левый,бензин,не битый,1,5,169 л.с.,116000 км,JSAJTDA4*00****41,автомат,https://www.avito.ru/moskva/avtomobili/suzuki_grand_vitara_2008_1245137702
13,Suzuki,Grand Vitara,2008,внедорожник,580 000,2.0,чёрный,полный,левый,бензин,не битый,2,5,140 л.с.,212465 км,JSAJTD54*00****55,автомат,https://www.avito.ru/moskva/avtomobili/suzuki_grand_vitara_2008_968183708
14,Suzuki,SX4,2018,хетчбэк,1 445 950,1.6,серебряный,полный,левый,бензин,,,,117 л.с.,,TSMJYB22*00****21,автомат,https://www.avito.ru/moskva/avtomobili/suzuki_sx4_2018_1135792500
15,Suzuki,Grand Vitara,2007,внедорожник,565 000,2.0,серый,полный,левый,бензин,не битый,1,5,140 л.с.,91343 км,JSAJTD54*00****06,автомат,https://www.avito.ru/moskva/avtomobili/suzuki_grand_vitara_2007_1613412012
16,Suzuki,Swift,2006,хетчбэк,305 000,1.3,красный,передний,левый,бензин,не битый,2,5,92 л.с.,68915 км,TSMMZC11*00****27,автомат,https://www.avito.ru/moskva/avtomobili/suzuki_swift_2006_1245627252
17,Suzuki,Grand Vitara,2008,внедорожник,564 000,2.0,бежевый,полный,левый,бензин,не битый,2,,140 л.с.,112000 км,JSAJTD54*00****74,механика,https://www.avito.ru/moskva/avtomobili/suzuki_grand_vitara_2008_1447832446
18,Suzuki,Grand Vitara,2008,универсал,580 000,2.0,серый,полный,левый,бензин,не битый,2,,140 л.с.,135000 км,JSAJTD54*00****39,механика,https://www.avito.ru/moskva/avtomobili/suzuki_grand_vitara_2008_1457270040
19,Suzuki,Grand Vitara,2006,внедорожник,558 000,2.0,серый,полный,левый,бензин,не битый,2,5,140 л.с.,115035 км,JSAJTD54*00****65,автомат,https://www.avito.ru/moskva/avtomobili/suzuki_grand_vitara_2006_1497622145
20,Suzuki,SX4,2008,хетчбэк,465 000,1.6,серый,полный,левый,бензин,не битый,2,,107 л.с.,59684 км,TSMEYB21*00****03,механика,https://www.avito.ru/moskva/avtomobili/suzuki_sx4_2008_1341837490
21,Suzuki,Grand Vitara,2008,внедорожник,700 000,2.4,серебряный,полный,левый,бензин,не битый,2,5,169 л.с.,165000 км,JSAJTDA4*00****11,автомат,https://www.avito.ru/moskva/avtomobili/suzuki_grand_vitara_2008_1340711343
22,Suzuki,Grand Vitara,2014,внедорожник,879 000,2.0,белый,полный,левый,бензин,не битый,1,,140 л.с.,45000 км,JSAJTD54*00****10,механика,https://www.avito.ru/moskva/avtomobili/suzuki_grand_vitara_2014_1225213360
