,Марка,Модель,Год выпуска,Тип кузова,Цена,Объём двигателя,Цвет,Привод,Руль,Тип двигателя,Состояние,Владельцев по ПТС,Количество дверей,Мощность двигателя,Пробег,VIN или номер кузова,Коробка передач,Ссылка
0,Toyota,Crown,2016,седан,2 290 000,2.5,белый,задний,правый,гибрид,не битый,1,4.0,178 л.с.,21000 км,AWS210-6****06,вариатор,https://www.avito.ru/moskva/avtomobili/toyota_crown_2016_1436482356
1,Toyota,Land Cruiser Prado,2010,внедорожник,1 750 000,4.0,чёрный,полный,левый,бензин,не битый,3,5.0,282 л.с.,165000 км,JTEBU3FJ*0K****73,автомат,https://www.avito.ru/moskva/avtomobili/toyota_land_cruiser_prado_2010_1398137572
2,Toyota,Land Cruiser,2008,внедорожник,1 700 000,4.5,чёрный,полный,левый,дизель,не битый,1,,235 л.с.,217667 км,JTMHV05J*04****56,автомат,https://www.avito.ru/moskva/avtomobili/toyota_land_cruiser_2008_1697090679
3,Toyota,Hilux,2015,пикап,1 950 000,2.8,синий,полный,левый,дизель,не битый,1,4.0,177 л.с.,39718 км,MR0BA3CD*00****02,автомат,https://www.avito.ru/moskva/avtomobili/toyota_hilux_2015_1697076647
4,Toyota,Land Cruiser,2010,внедорожник,1 700 000,4.7,чёрный,полный,левый,бензин,не битый,3,5.0,288 л.с.,216000 км,JTMHT05J*05****75,автомат,https://www.avito.ru/moskva/avtomobili/toyota_land_cruiser_2010_1162493149
5,Toyota,Land Cruiser,2012,внедорожник,2 250 000,4.6,чёрный,полный,левый,бензин,не битый,2,5.0,309 л.с.,145500 км,JTMHX05J*04****26,автомат,https://www.avito.ru/moskva/avtomobili/toyota_land_cruiser_2012_1174726107
6,Toyota,Verso,2008,универсал,420 000,1.8,серебряный,передний,левый,бензин,не битый,3,5.0,129 л.с.,195000 км,NMTER16R*0R****24,робот,https://www.avito.ru/moskva/avtomobili/toyota_verso_2008_1085088331
7,Toyota,Corolla,2007,седан,500 000,1.6,серебряный,передний,левый,бензин,не битый,2,,124 л.с.,69000 км,JTNBV58E*02****43,робот,https://www.avito.ru/moskva/avtomobili/toyota_corolla_2007_1509184968
8,Toyota,Matrix,2002,универсал,230 000,1.8,серебряный,передний,левый,газ,не битый,3,5.0,132 л.с.,260000 км,2T1KR32E*3C****28,автомат,https://www.avito.ru/moskva/avtomobili/toyota_matrix_2002_1656566477
9,Toyota,Camry,2015,седан,1 370 000,2.5,чёрный,передний,левый,бензин,не битый,1,4.0,181 л.с.,66775 км,XW7BF4FK*0S****53,автомат,https://www.avito.ru/moskva/avtomobili/toyota_camry_2015_1060614245
10,Toyota,Land Cruiser,2016,внедорожник,4 195 000,4.5,серый,полный,левый,дизель,не битый,1,5.0,249 л.с.,26988 км,JTMCV02J*04****64,автомат,https://www.avito.ru/moskva/avtomobili/toyota_land_cruiser_2016_1041726532
11,Toyota,Land Cruiser Prado,2012,внедорожник,1 806 000,3.0,чёрный,полный,левый,дизель,не битый,2,,173 л.с.,158902 км,JTEBH3FJ*05****36,автомат,https://www.avito.ru/moskva/avtomobili/toyota_land_cruiser_prado_2012_1373350741
12,Toyota,Highlander,2012,внедорожник,1 550 000,3.5,чёрный,полный,левый,бензин,не битый,1,5.0,273 л.с.,76796 км,JTEES42A*02****00,автомат,https://www.avito.ru/moskva/avtomobili/toyota_highlander_2012_1335936261
13,Toyota,Land Cruiser Prado,2015,внедорожник,2 238 000,2.8,чёрный,полный,левый,дизель,не битый,1,,177 л.с.,91300 км,JTEBX3FJ*05****54,автомат,https://www.avito.ru/moskva/avtomobili/toyota_land_cruiser_prado_2015_1703489861
14,Toyota,RAV4,2001,внедорожник,365 000,2.0,золотой,полный,левый,бензин,не битый,3,5.0,150 л.с.,136640 км,JTEHH20V*16****60,автомат,https://www.avito.ru/moskva/avtomobili/toyota_rav4_2001_1324279974
