,Марка,Модель,Год выпуска,Тип кузова,Цена,Объём двигателя,Цвет,Привод,Руль,Тип двигателя,Состояние,Владельцев по ПТС,Количество дверей,Мощность двигателя,Пробег,VIN или номер кузова,Коробка передач,Ссылка
0,ВАЗ (LADA),2113 Samara,2005,хетчбэк,135 000,1.5,серебряный,передний,левый,бензин,не битый,4+,3,77 л.с.,91000 км,XTA21130*53****01,механика,https://www.avito.ru/moskva/avtomobili/vaz_2113_samara_2005_930391727
1,ВАЗ (LADA),4x4 (Нива),2017,внедорожник,449 000,1.7,чёрный,полный,левый,бензин,не битый,1,3,83 л.с.,11 км,XTA21214*H2****75,механика,https://www.avito.ru/moskva/avtomobili/lada_4x4_niva_2017_1627649566
2,ВАЗ (LADA),4x4 (Нива),2017,внедорожник,495 000,1.7,белый,полный,левый,бензин,не битый,1,3,83 л.с.,1500 км,XTA21214*J2****63,механика,https://www.avito.ru/moskva/avtomobili/lada_4x4_niva_2017_1435880990
3,ВАЗ (LADA),4x4 (Нива),2017,внедорожник,449 000,1.7,серый,полный,левый,бензин,не битый,1,3,87 л.с.,15 км,XTA21214*J2****55,механика,https://www.avito.ru/moskva/avtomobili/lada_4x4_niva_2017_1500388530
4,ВАЗ (LADA),2111,2005,универсал,40 000,1.6,бежевый,передний,левый,бензин,не битый,3,5,80 л.с.,177579 км,XTA21112*50****41,механика,https://www.avito.ru/moskva/avtomobili/vaz_2111_2005_1421782918
5,ВАЗ (LADA),Priora,2008,седан,150 000,1.6,серебряный,передний,левый,бензин,не битый,3,5,72 л.с.,274000 км,XTA21703*70****00,механика,https://www.avito.ru/moskva/avtomobili/lada_priora_2008_1689370103
6,ВАЗ (LADA),2114 Samara,2003,хетчбэк,55 000,1.6,серый,передний,левый,бензин,не битый,3,,78 л.с.,150000 км,XTA21140*33****02,механика,https://www.avito.ru/moskva/avtomobili/vaz_2114_samara_2003_1224039917
7,ВАЗ (LADA),2105,2000,седан,18 000,1.5,фиолетовый,задний,левый,бензин,не битый,3,4,55 л.с.,175802 км,XTA21053*Y1****41,механика,https://www.avito.ru/moskva/avtomobili/vaz_2105_2000_1558907070
8,ВАЗ (LADA),2112,2002,хетчбэк,80 000,1.5,серебряный,передний,левый,бензин,не битый,4+,5,92 л.с.,142000 км,XTA21120*20****64,механика,https://www.avito.ru/moskva/avtomobili/vaz_2112_2002_1616601445
9,ВАЗ (LADA),Granta,2014,седан,240 000,1.6,синий,передний,левый,бензин,не битый,1,4,87 л.с.,65000 км,XTA21901*E0****28,механика,https://www.avito.ru/moskva/avtomobili/lada_granta_2014_1008073280
