,Марка,Модель,Год выпуска,Тип кузова,Цена,Объём двигателя,Цвет,Привод,Руль,Тип двигателя,Состояние,Владельцев по ПТС,Количество дверей,Мощность двигателя,Пробег,VIN или номер кузова,Коробка передач,Ссылка
0,Volvo,S60,2013,седан,900 000,2.0,белый,передний,левый,бензин,не битый,1,4,180 л.с.,145000 км,YV1FS42H*E2****03,автомат,https://www.avito.ru/moskva/avtomobili/volvo_s60_2013_1486161283
1,Volvo,XC60,2018,внедорожник,2 928 301,2.0,зелёный,полный,левый,дизель,,,5,190 л.с.,,LYVUZA8A*KB****18,автомат,https://www.avito.ru/moskva/avtomobili/volvo_xc60_2018_1335878540
2,Volvo,XC90,2013,внедорожник,1 128 000,2.5,чёрный,полный,левый,бензин,не битый,3,,210 л.с.,133569 км,YV1CM245*D1****34,автомат,https://www.avito.ru/moskva/avtomobili/volvo_xc90_2013_1128667297
3,Volvo,S60,2014,седан,1 109 000,2.0,коричневый,передний,левый,бензин,не битый,1,4,180 л.с.,120644 км,YV1FS42H*F2****75,автомат,https://www.avito.ru/moskva/avtomobili/volvo_s60_2014_1342373265
4,Volvo,S80,2005,седан,350 000,2.5,чёрный,полный,левый,бензин,не битый,3,,209 л.с.,172890 км,YV1TS595*51****10,автомат,https://www.avito.ru/moskva/avtomobili/volvo_s80_2005_1494858259
5,Volvo,XC90,2008,внедорожник,830 000,2.4,серый,полный,левый,дизель,не битый,3,5,185 л.с.,168000 км,YV1CM713*91****41,автомат,https://www.avito.ru/moskva/avtomobili/volvo_xc90_2008_1563168929
6,Volvo,XC60,2010,универсал,900 000,2.0,коричневый,передний,левый,дизель,не битый,3,5,163 л.с.,170000 км,YV1DZ525*B2****28,автомат,https://www.avito.ru/moskva/avtomobili/volvo_xc60_2010_1490678129
7,Volvo,XC90,2007,внедорожник,649 000,2.5,серебряный,полный,левый,бензин,не битый,4+,5,209 л.с.,200000 км,YV1CM595*71****89,автомат,https://www.avito.ru/moskva/avtomobili/volvo_xc90_2007_1155321655
8,Volvo,S80,2010,седан,735 000,2.5,белый,передний,левый,бензин,не битый,3,5,232 л.с.,136000 км,YV1AS605*A1****50,автомат,https://www.avito.ru/moskva/avtomobili/volvo_s80_2010_1448865758
9,Volvo,V50,2008,универсал,487 000,2.4,чёрный,передний,левый,бензин,не битый,3,5,140 л.с.,184600 км,YV1MW665*92****17,автомат,https://www.avito.ru/moskva/avtomobili/volvo_v50_2008_1425600394
10,Volvo,S40,2002,седан,157 000,1.8,серый,передний,левый,бензин,не битый,4+,4,122 л.с.,257452 км,YV1VS14K*2F****49,автомат,https://www.avito.ru/moskva/avtomobili/volvo_s40_2002_1547986045
11,Volvo,S60,2012,седан,670 000,1.6,чёрный,передний,левый,бензин,не битый,3,4,180 л.с.,83731 км,YV1FS48H*C2****83,робот,https://www.avito.ru/moskva/avtomobili/volvo_s60_2012_1416367146
12,Volvo,XC70,2012,универсал,975 000,2.0,зелёный,передний,левый,дизель,не битый,1,,163 л.с.,159384 км,YV1BZ885*C1****46,автомат,https://www.avito.ru/moskva/avtomobili/volvo_xc70_2012_1457021484
13,Volvo,XC60,2012,внедорожник,1 130 000,2.4,белый,полный,левый,дизель,не битый,2,,163 л.с.,96000 км,YV1DZ875*C2****13,автомат,https://www.avito.ru/moskva/avtomobili/volvo_xc60_2012_949029945
14,Volvo,V40 Cross Country,2013,хетчбэк,895 000,1.6,чёрный,передний,левый,дизель,не битый,3,,115 л.с.,108150 км,YV1MZ845*E2****19,автомат,https://www.avito.ru/moskva/avtomobili/volvo_v40_cross_country_2013_1386763530
15,Volvo,XC70,2007,универсал,520 000,2.5,серый,полный,левый,бензин,не битый,3,,210 л.с.,126000 км,YV1SZ595*71****54,автомат,https://www.avito.ru/moskva/avtomobili/volvo_xc70_2007_1328074165
16,Volvo,S60,2014,седан,1 075 000,2.0,серый,передний,левый,бензин,не битый,1,,180 л.с.,72608 км,YV1FS42H*F1****25,автомат,https://www.avito.ru/moskva/avtomobili/volvo_s60_2014_1224050396
17,Volvo,S80,2007,седан,460 000,3.0,серебряный,полный,левый,бензин,не битый,3,4,285 л.с.,220000 км,YV1AS995*81****28,автомат,https://www.avito.ru/moskva/avtomobili/volvo_s80_2007_1683257232
18,Volvo,S80,2004,седан,350 000,2.9,чёрный,передний,левый,бензин,не битый,3,4,272 л.с.,220000 км,YV1TR91J*41****42,автомат,https://www.avito.ru/moskva/avtomobili/volvo_s80_2004_1645073110
19,Volvo,S60,2003,седан,250 000,2.4,чёрный,передний,левый,бензин,не битый,3,4,170 л.с.,180000 км,YV1RS61S*42****04,автомат,https://www.avito.ru/moskva/avtomobili/volvo_s60_2003_1547768870
