,Марка,Модель,Год выпуска,Тип кузова,Цена,Объём двигателя,Цвет,Привод,Руль,Тип двигателя,Состояние,Владельцев по ПТС,Количество дверей,Мощность двигателя,Пробег,VIN или номер кузова,Коробка передач,Ссылка
0,Volkswagen,Transporter,2010,микроавтобус,990 000,2.0,синий,передний,левый,дизель,не битый,3,4,84 л.с.,167000 км,XW8ZZZ7H*AG****97,механика,https://www.avito.ru/moskva/avtomobili/volkswagen_transporter_2010_1209327541
1,Volkswagen,Passat,2006,седан,315 000,2.0,серебряный,передний,левый,бензин,не битый,3,4,150 л.с.,181524 км,WVWZZZ3C*6P****27,механика,https://www.avito.ru/moskva/avtomobili/volkswagen_passat_2006_1439532319
2,Volkswagen,Tiguan,2010,внедорожник,699 900,2.0,чёрный,полный,левый,бензин,не битый,3,5,200 л.с.,123000 км,WVGAV7AX*BW****40,автомат,https://www.avito.ru/moskva/avtomobili/volkswagen_tiguan_2010_1700759119
3,Volkswagen,Multivan,2011,микроавтобус,1 400 000,2.0,чёрный,передний,левый,бензин,не битый,1,4,204 л.с.,316200 км,WV2ZZZ7H*CH****38,робот,https://www.avito.ru/moskva/avtomobili/volkswagen_multivan_2011_1433458351
4,Volkswagen,Scirocco,2012,купе,600 000,1.4,белый,передний,левый,бензин,не битый,1,2,160 л.с.,159000 км,WVWZZZ13*DV****48,робот,https://www.avito.ru/moskva/avtomobili/volkswagen_scirocco_2012_1280025119
5,Volkswagen,Jetta,2013,седан,620 000,1.4,бежевый,передний,левый,бензин,не битый,2,4,150 л.с.,147000 км,WVWZZZ16*DM****15,робот,https://www.avito.ru/moskva/avtomobili/volkswagen_jetta_2013_1719120897
6,Volkswagen,Touareg,2011,внедорожник,1 490 000,3.0,синий,полный,левый,дизель,не битый,3,5,245 л.с.,69000 км,XW8ZZZ7P*CG****79,автомат,https://www.avito.ru/moskva/avtomobili/volkswagen_touareg_2011_1435197907
7,Volkswagen,Passat CC,2012,седан,800 000,1.8,коричневый,передний,левый,бензин,не битый,1,4,152 л.с.,96000 км,WVWZZZ3C*DE****32,автомат,https://www.avito.ru/moskva/avtomobili/volkswagen_passat_cc_2012_1706902557
8,Volkswagen,Passat CC,2012,седан,1 035 000,2.0,белый,передний,левый,дизель,не битый,4+,4,170 л.с.,104000 км,WVWZZZ3C*CE****87,робот,https://www.avito.ru/moskva/avtomobili/volkswagen_passat_cc_2012_1387082428
9,Volkswagen,Polo,2015,седан,470 000,1.6,чёрный,передний,левый,бензин,не битый,1,4,110 л.с.,120000 км,XW8ZZZ61*GG****24,механика,https://www.avito.ru/moskva/avtomobili/volkswagen_polo_2015_1368576010
